"TokenID","FileID","SemCat","MetCat","Adj","Noun","Example"
548056,"AHF","lit","n/a","warm","chocolate","This device froze mini-slabs of ice cream at -40 degrees Farenheit , which made them hard enough to be sealed with [warm chocolate] ."
548364,"AHF","lit","n/a","cold","climate","Under the tutelage of Sir Wilfred Thomas Grenfell , at the Grenfell Mission , Newfoundland , she produced silk-woven rag rugs which illustrated the fight for survival in Labrador 's [cold climate] ."
558517,"AJF","metaph","affection","warm","presence","‘ She 's quite a friendly ghost — one feels a [warm presence] , ’ he said , wiping the sweat from his brow ."
561845,"AL0","metaph","evaluation","cool","xx_million","MADONNA 's new contract with Warner Brothers is said to be worth a [cool $60] million ."
566293,"AL0","metaph","affection","cold","sarcasm","Sarah Miles has a fine old time as the wife , alternating that disconcertingly seraphic smile with lots of mad laughter and howls of outrage , while Greg Hicks suggests a bitter soul in torment as Harry , all [cold sarcasm] and inner pain ."
583461,"ALP","lit","n/a","cold","shower","However , by the conclusion of the course over three-quarters of the sample knew the beer equivalent to the legal limit ( 77 per cent ) ; the correct detoxification time ( 78 per cent ) ; and the fact that there is no effective way to accelerate the detoxification process ( 79 per cent ) — including a [cold shower] or a cup of strong coffee !"
588714,"ALP","lit","n/a","hot","drink","The proportions reported to have had difficulty with various aspects of caring for themselves ( getting in and out of a bath or shower , dressing and undressing , going to the toilet , washing and shaving , feeding themselves , making a [hot drink] , or needing help at night ) for a year or more before death was 87 per cent of those who had been in a residential home for a year or more , 60 per cent of those in for a shorter time and 25 per cent of those who had not been in such a home at all ."
634739,"AMM","lit","n/a","hot","springs","They can live in [hot springs] , or can be dredged from the deepest abyssal depths of the ocean ; the latter are grotesque gargoyles that seem to belong in the paintings of Heironymus Bosch ."
636542,"AMM","lit","n/a","cold","climates","The warmer the climate the more they are in evidence , because the living reptiles are ‘ cold blooded ’ ( without their own internal heat regulator ) and they can not successfully live in very [cold climates] ."
640290,"AMM","lit","n/a","cold","conditions","A number of species , adapted to the widespread [cold conditions] , roamed widely around the northern hemisphere , including woolly mammoths and rhinoceros , and extinct species of tigers ."
640363,"AMM","lit","n/a","cold","climate","With the final retreat of the ice many of the [cold climate] specialists perished ( possibly with the help of man ) , although some of the species that accompany them , like lemmings or musk ox , survive today in the harsh conditions of the arctic tundra ."
653411,"AS6","metaph","activity","hot","war","Harrison 's vision of a nightmarish future for inner cities , locked in a cold or [hot war] between have-nots and the forces of public order , was echoed by Robert Chesshyre ( 1987 , p. 95 ) , who concluded that by the late 1980s :"
803016,"BM4","lit","n/a","hot","weather","It was no better in the summer : ‘ July 10th , 1885 — The [hot weather] makes the work very difficult ."
803155,"BM4","lit","n/a","hot","summer","Walter Sherfield , who had started school the year before , remembers the time well , particularly during the long [hot summer] days when lessons were held out in the open , under the old oak trees ."
803332,"BM4","lit","n/a","hot","meal","In 1918 it 's disclosed that : ‘ The managers have arranged to supply those children , who remain , to dinner with a [hot meal] for a penny halfpenny per day per child . ’"
830717,"BM4","lit","n/a","hot","air","It will coincide with the hosting of the Alton Sports Council Cavalcade of Sport , which will involve a whole host of sporting activities , from archery to aerobics , football to [hot air] ballooning ."
845903,"BM4","metaph","affection","warm","welcome","Prizes many and varied and a [warm welcome] from the captain , Joy Barr , contributed to the success of Hindhead Ladies ' Bring and Win , played in pleasant conditions recently ."
851884,"BM4","lit","n/a","hot","water","He added : ‘ With the launch last autumn of the Flexiheat tariff to complement Economy 7 , night-rate electricity can now be purchased at less than a third of the standard domestic rate , offering economic efficient [hot water] and heating . ’"
853864,"BM4","lit","n/a","warm","spell","All this has happened in the absence of any balmy [warm spell] , just a few days without cold nights and with midday temperatures hardly as high as 50F ."
853872,"BM4","lit","n/a","cold","nights","All this has happened in the absence of any balmy warm spell , just a few days without [cold nights] and with midday temperatures hardly as high as 50F ."
868123,"BMW","lit","n/a","warm","flat","Then she leaned against it , realising that in spite of the fact that she was still wearing her ski jacket in the [warm flat] , she was shivering again ."
870742,"BMW","lit","n/a","cold","air","He got out of bed , exclaiming as the [cold air] enveloped his warm sleepy frame ."
872758,"BMW","lit","n/a","cold","sweat","Although the very thought of court action had brought him out in a [cold sweat] , the same grittiness which had enabled his father to jump ship and seek a new life now came to his rescue ."
894524,"BMW","lit","n/a","warm","leather","The car had a bench seat in the front and smelled of [warm leather] and old cigarette smoke ."
894567,"BMW","lit","n/a","warm","autumn","It was a fine [warm autumn] evening and although the light was already dying out of the sky the trees still looked magnificent , shades of gold and red blending with some still-green foliage ."
904582,"BPA","metaph","affection","warm","relief","The were about to select from the sweet trolley when , at a nod from his mother , the proprietor dimmed the houselights and a young waitress brought in a surprise birthday cake , the reflection from the candles throwing her face into [warm relief] ."
916151,"BPA","lit","n/a","cold","face","Exhausted , Nell looked up at Delaney , a wry smile crossing her white , [cold face] ."
917130,"BPA","lit","n/a","cold","tea","That same pool of light picked out a half-smoked cigar on the edge of an ashtray , a partly consumed sandwich , and several mugs of [cold tea] ."
922410,"BPA","metaph","synesthesia","cold","grey","True dawn came as a dirty yellow streak in the east that slowly lost its colour as it spread into a [cold grey] , filled with racing clouds ."
926079,"BPA","lit","n/a","cold","extrusion","He began to sweat , a weird [cold extrusion] of moisture that began to trickle down his face ."
926547,"BPA","lit","n/a","cold","sweat","Hence a [cold sweat] . ’"
931498,"BPA","metaph","activity","hot","pursuit","He leapt forward , intent on [hot pursuit] , and caught sight of Grant — or rather , what was left of him ."
937539,"BPA","lit","n/a","hot","moisture","She felt [hot moisture] ."
942593,"BPA","lit","n/a","warm","fluid","He was conscious of the rush of [warm fluid] down on to his lips , and the salty taste of his own blood ."
950557,"C8T","lit","n/a","warm","autumn","They looked as if they had been dressed in a hurry and not very suitably for a long walk on the headland , even in a [warm autumn] ."
971096,"C8T","lit","n/a","warm","beer","The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , [warm beer] and poor service ."
971219,"C8T","lit","n/a","cold","supper","They had worked out their monthly budget to the last pound , and if Norman thought she was going to eat this overpriced muck with a perfectly good [cold supper] waiting in the refrigerator at home and a decent programme on the telly he could forget it ."
974261,"C8T","lit","n/a","cool","air","But once they had stepped out into the [cool air] , paradoxically , the noise seemed muted , the sea no more than a distant roar ."
981215,"C8T","lit","n/a","cold","wetness","Now wide awake , and breathing as if she had been running , she put her hand up to her brow and knew that the [cold wetness] she felt was sweat not blood ."
982194,"C8T","lit","n/a","cold","tiles","There were [cold tiles] under her feet ."
982726,"C8T","lit","n/a","cold","air","Looking at him as he stared into the night , she felt a surge of affection as pure and as uncomplicated as the flow of [cold air] against her face ."
992597,"C8T","lit","n/a","warm","sand","There would be no more lying in the [warm sand] dunes ."
995458,"CB5","metaph","temperament","cool","analysis","It shocked her that she could make such a [cool analysis] of the situation ."
997073,"CB5","lit","n/a","hot","water","‘ Ground ginger in [hot water] , ’ she told Ruth ."
997997,"CB5","lit","n/a","cold","air","After morning service , when the last of the footsteps , and voices exchanging greetings , had died away , she heard the vicar ride off , the clip-clop of the horse 's hooves as clear as a bell on the [cold air] ."
1001124,"CB5","lit","n/a","cold","day","‘ It were a [cold day] ."
1006935,"CB5","lit","n/a","cold","winter","As the long , [cold winter] merged into spring she wondered if America , or any place on earth , could be as beautiful as her native moors ."
1007857,"CB5","lit","n/a","hot","liquid","Her uncle gazed at the tea in his mug as if the [hot liquid] might be the Atlantic Ocean itself ."
1009630,"CB5","lit","n/a","warm","flannel","From her savings Ruth had bought new boots , stockings , a [warm flannel] petticoat and a gown made of Yorkshire wool ."
1009985,"CB5","lit","n/a","cold","air","When he entered the kitchen , bringing a great gust of [cold air] with him , he was all smiles ."
1022207,"CB5","lit","n/a","hot","weather","She had few clothes , and fewer still suitable for the [hot weather] ."
1022254,"CB5","lit","n/a","cool","water","When she had packed she washed Anna 's hands and her own in a basin of [cool water] , put on their bonnets , and took Anna 's hand to descend the stairs ."
1022823,"CB5","lit","n/a","hot","cinders","When they stepped into the street the damp warmth hit her in the face and the heat of the pavements struck through the thin soles of her shoes so that every step of the way was like treading on [hot cinders] ."
1022926,"CB5","lit","n/a","cold","water","In spite of having sponged herself down in [cold water] to close the pores , and liberally applied powdered chalk to absorb the perspiration , she could feel the rivulets of sweat running down her back and the insides of her thighs ."
1025054,"CB5","lit","n/a","cold","water","She wanted to wash her face and hands in [cold water] , if possible to lie down for five minutes ."
1028471,"CB5","lit","n/a","hot","sun","There had been a shower earlier in the day , and although the [hot sun] had dried the ground again , a sharper-than-usual smell of earth and growing things still lingered ."
1034067,"CB5","lit","n/a","cool","shade","Where , in one place the track was lined with trees which stood between the carriage and the sun , she became gratefully aware of the [cool shade] cast by their dense foliage ."
1042742,"CB5","lit","n/a","warm","night","Then he pulled down the sheet , which was all the bedclothes she had needed on that [warm night] , and she lay naked before him ."
1044980,"CBD","lit","n/a","warm","air","APV , the engineer and food processor , has sold off its ventilation and [warm air] hand dryer business , Vent-Axia , to Smiths Industries for a cool £56m in cash ."
1044993,"CBD","metaph","evaluation","cool","xx_million","APV , the engineer and food processor , has sold off its ventilation and warm air hand dryer business , Vent-Axia , to Smiths Industries for a [cool £56m] in cash ."
1048084,"CBD","metaph","evaluation","hot","tips","[Hot tips] for 1993"
1051162,"CBD","metaph","temperament","cool","look","Take a long , [cool look] at your shares ."
1055469,"CBD","metaph","evaluation","cool","xx_million","The fact that Disney boss Michael Eisner sold a big parcel of shares last week to net a [cool £82.6m] is also irrelevant ."
1056827,"CBD","metaph","evaluation","cool","xx_million","Forte gets a [cool Pounds] 402m — a profit of around £300m — and still retains just under 25% of the caterer ahead of a future flotation ."
1078030,"CBE","metaph","activity","cold","war","[Cold war] arms deal dilemma"
1078068,"CBE","metaph","activity","cold","war","The Strategic Arms Reduction Talks treaty between the former [Cold War] enemies would eliminate all land-based multiple warhead missiles and slash warheads by two-thirds ."
1078711,"CBE","FALSE","n/a","hot","guarantees","The survey said : ‘ Being [hot guarantees] the best tables at the finest restaurants . ’"
1084391,"CBE","metaph","temperament","cold","reality","‘ He could n't face the harsh , [cold reality] of telling his wife and children that the good life was over , that his days of living in lovely Rancho Santa Fe were numbered , ’ said the source ."
1093829,"CBE","metaph","evaluation","hot","shots","Charlie Sheen , who will play a dim-witted muscleman in the film , [Hot Shots] 2 , said : ‘ I 'd be flattered if a spoof was made of one of my movies . ’"
1096704,"CBE","metaph","activity","cold","war","He became a cult figure in Russia as the first cartoon character in space , the guest of honour on board a rocket celebrating the end of the [Cold War] ."
1102226,"CBE","lit","n/a","warm","ocean","THE [warm ocean] cascades with a deafening roar on to fine , white sand ."
1110611,"CBE","metaph","temperament","cold","blood","He was shot in [cold blood] . ’"
1112665,"CBE","metaph","activity","cold","war","THE world teetered on the brink of a new [Cold War] for 30 minutes yesterday after an astonishing speech by Russia 's Foreign Minister ."
1113204,"CBE","metaph","temperament","cold","blood","‘ He was shot in [cold blood] because he knew too much and was about to blow the whistle , ’ a detective said ."
1118708,"CBM","lit","n/a","cold","weather","As well as raising funds for elderly people in need through this promotion , the shops will be assisting in alerting people to the dangers of [cold weather] by providing information on help available in Northern Ireland . ’"
1137967,"CCW","lit","n/a","hot","day","The tall black man who had emerged from the Lincoln was dressed in a dark blue three-piece suit that looked incongruously heavy for such a [hot day] ."
1139989,"CCW","lit","n/a","warm","wind","I thought for a second he was going to burn it , but instead he tore it into tiny scraps that he tossed into the [warm wind] ."
1146547,"CCW","lit","n/a","warm","wind","I watched the two handsome flags uncurl to the [warm wind] , then went on my own tour of inspection ."
1148178,"CCW","lit","n/a","warm","sky","We had moored off a deserted cay rimmed with a beach of clear sand above which the first stars were pricking the [warm sky] , while , beneath Wavebreaker 's bimini cover , half-moon ice cubes clinked in crystal glasses ."
1149335,"CCW","lit","n/a","hot","room","McIllvanney had offered to let her stay on board Wavebreaker , so long as the boat 's air conditioners were disconnected , but his offer was not as generous as it seemed for Ellen would have been little more than an unpaid security guard and also subject to Bellybutton 's endlessly tedious suggestions , and she far preferred her small [hot room] in the busy crowded apartment block that smelt of cooking all day and marijuana all night ."
1151509,"CCW","lit","n/a","warm","thistledown","Revelation and I chatted idly , content to let the minutes drift pass like [warm thistledown] ."
1156152,"CCW","lit","n/a","warm","wind","Above us the fronds of the palm trees clattered in the [warm wind] , while out to sea Bonefish 's ragged and patched sail dipped in the steep waves beyond the reef ."
1158580,"CCW","lit","n/a","hot","heap","‘ I suppose we should try and get this [hot heap] of shit off the ground , ’ the Maggot growled now ."
1158891,"CCW","lit","n/a","cool","air","The Maggot , pleased to have spoilt someone 's day , pulled back the stick and we liked safely off the runway and there was suddenly a wonderful rush of [cool air] coming from an overhead vent ."
1159595,"CCW","metaph","affection","hot","pants","She taught in a health club ; aerobics , that kind of thing , and the next we knew she was wearing [hot pants] on a street corner in New York and strutting her stuff at the cars ."
1162342,"CCW","lit","n/a","cold","air","I tried to relax , letting the [cold air] from the vent cool the sweat from my face ."
1163840,"CCW","metaph","affection","warm","kiss","Ellen almost flew across the small room and , to my astonishment and probably to everyone else 's , greeted me with a [warm kiss] ."
1171635,"CCW","lit","n/a","warm","night","‘ I think he 's best avoided , ’ Ellen said in an unexpectedly sober voice , and suddenly , and for no particular reason on a very [warm night] , we both shivered ."
1172918,"CCW","metaph","temperament","cool","restraint","Ellen 's manner was almost British in its [cool restraint] , matching our welcome which we had deliberately pitched at a low key ."
1178759,"CCW","lit","n/a","warm","shelter","She sat at the edge of the cockpit , curled her legs into the [warm shelter] of the jacket , then hunched down into the thick collar so that all I could see of her face was her enormous , moon-silvered and lemur-like eyes beneath the pale gleam of her short bright hair ."
1178881,"CCW","metaph","synesthesia","cold","fire","She rested her head against a cushion so that she could stare straight up through the network of rigging and past the light-blanched sails to where the stars wheeled their [cold fire] beyond the mastheads ."
1188665,"CDB","lit","n/a","warm","flush","It flooded his head , charged it with recklessness and brought — he could feel it happening — a [warm flush] to his face ."
1192056,"CDB","lit","n/a","hot","summer","And by the neglect of the long [hot summer] ."
1193053,"CDB","metaph","temperament","cold","clarity","If it comes to light that I was in that house with Adam and the others , he thought with [cold clarity] , if someone tells the papers , or the police and thence the papers , that I was there during the summer of 1976 , living there , it will be all up with me ."
1195740,"CDB","metaph","affection","cold","note","But the note that accompanied it made no mention of the choice of name and it was rather a [cold note] ."
1200539,"CDB","metaph","affection","cold","savagery","He had turned on her and said with [cold savagery] , ‘ For fuck 's sake , stop kicking me , will you ? ’"
1201978,"CDB","lit","n/a","cool","summer","A dull [cool summer] it had been , as different as could be from the year before ."
1202780,"CDB","lit","n/a","cold","water","[Cold water] drops fell on his head from the leafy roof of the tunnel ."
1207041,"CDB","lit","n/a","hot","sun","It was also very hot , for the drawing room faced due south and the [hot sun] beat on the glass ."
1207316,"CDB","lit","n/a","warm","gust","The sun came to him in a [warm gust] or like a warm veil enveloping him ."
1207321,"CDB","lit","n/a","warm","veil","The sun came to him in a warm gust or like a [warm veil] enveloping him ."
1216859,"CDB","lit","n/a","hot","sun","He had brought with him reading that was expected of him during this vacation , works on sociology and on linguistics and some where these two studies converged , but these were not the sort of books one much wanted to read under the [hot sun] and the influence of wine ."
1218225,"CDB","lit","n/a","hot","night","It was a [hot night] but she was shivering ."
1235542,"CEL","metaph","affection","warm","welcome","The CBI gave the new moves a [warm welcome] ."
1244818,"CEL","lit","n/a","cold","winds","DAWSON International , maker of posh sweater brands Pringle and Ballantyne , shivered in the [cold winds] of recession in the six months to end-September ."
1284474,"CFC","lit","n/a","cold","weather","They said she was fond of visiting the countryside and coast and appealed for property owners to check outbuildings in case she was taking refuge from January 's [cold weather] ."
1302517,"CFY","lit","n/a","cold","dinner","Take your seats ; there 's nothing worse than a [cold dinner] . ’"
1306062,"CFY","lit","n/a","hot","griddle","The lady went out and drove away and Joe , who had witnessed the meeting , went into the kitchen where Mary was saying to Helen , ‘ Eeh ! the lies rolled off her like butter off a [hot griddle] . ’"
1311565,"CFY","lit","n/a","warm","darkness","They had lain dormant for some years after she had left the cottage , but he knew now they had simply been growing in the [warm darkness] of his being where love bred …"
1322236,"CFY","lit","n/a","cold","water","He put out his hand towards her now but did n't touch her , saying , ‘ Do n't faint ; it wo n't help you any because I 'll only revive you with a jug of [cold water] and make you listen to the finish ."
