"FileID","Target","TargetType","PrimeSpan20","PrimeSpan7","CorpusExample"
"HUA","angrier","synthetic","synthetic","synthetic","she/PNP 's/VBZ not/XX0 keen/AJ0 ,/PUN but/CJC I/PNP think/VVB I/PNP can/VM0 bring/VVI her/PNP round/AVP ./PUN She/PNP 's/VBZ getting/VVG stronger/AJC ,/PUN and/CJC angrier/AJC"
"JY5","angrier","synthetic","synthetic","synthetic","the/AT0 pit/NN1 of/PRF her/DPS stomach/NN1 ./PUN It/PNP was/VBD now/AV0 or/CJC never/AV0 ./PUN Hearing/VVG the/AT0 stranger/NN1 's/POS voice/NN1 become/VVB louder/AJC and/CJC angrier/AJC"
"G3P","angrier","synthetic","synthetic","synthetic","cries/NN2 of/PRF babies/NN2 ./PUN Death/NN1 raced/VVD from/PRP room/NN1 to/PRP room/NN1 ,/PUN his/DPS robe/NN1 flapping/VVG-NN1 ./PUN His/DPS voice/NN1 was/VBD angrier/AJC and/CJC angrier/AJC"
"H8G","angrier","synthetic","synthetic","synthetic","a/AT0 lot/NN1 of/PRF blood/NN1 ./PUN After/PRP some/DT0 days/NN2 my/DPS arm/NN1 began/VVD to/TO0 get/VVI better/AJC ,/PUN but/CJC I/PNP became/VVD sadder/AJC and/CJC angrier/AJC"
"ASS","emptier","synthetic","synthetic","synthetic","Nazi/NN1 Who/PNQ Escaped/VVD justice/NN1 at/PRP Nuremberg/NP0 ./PUN By/PRP tomorrow/AV0 night/NN1 Wimbledon/NP0 was/VBD going/VVG to/TO0 be/VBI an/AT0 easier/AJC ,/PUN cleaner/NN1 ,/PUN emptier/AJC"
"HU8","friendlier","synthetic","synthetic","synthetic","responsive/AJ0 to/PRP rhythm/NN1 ,/PUN more/AV0 creative/AJ0 ,/PUN independent/AJ0 and/CJC sociable/AJ0 ./PUN Lucy/NP0 says/VVZ ‘/PUQ They/PNP always/AV0 go/VVB home/AV0 happier/AJC and/CJC friendlier/AJC"
"ED4","friendlier","synthetic","synthetic","synthetic","'s/POS Travelog/NN1-NP0 ./PUN She/PNP also/AV0 writes/VVZ for/PRP The/AT0 Sunday/NP0 Times/NN2 GH/NP0 travel/NN1-VVB SKIING/VVG-NN1 WITH/PRP A/AT0 DIFFERENCE/NN1 For/PRP an/AT0 easier/AJC ,/PUN friendlier/AJC"
"C97","livelier","synthetic","synthetic","synthetic","fresh/AJ0 or/CJC live/AJ0 food/NN1 will/VM0 add/VVI to/PRP your/DPS fish/NN0 's/POS well-being/NN1 ,/PUN and/CJC generally/AV0 reward/VVB you/PNP with/PRP a/AT0 stronger/AJC ,/PUN livelier/AJC"
"C9L","livelier","synthetic","synthetic","synthetic","but/CJC I/PNP 'd/VM0 take/VVI the/AT0 JD/NP0 Tele/NP0 every/AT0 time/NN1 ./PUN It/PNP 's/VBZ lighter/AJC ,/PUN it/PNP 's/VBZ springier/AJC ,/PUN it/PNP 's/VBZ livelier/AJC"
"H89","livelier","synthetic","synthetic","synthetic","malicious/AJ0 bazaar/NN1 gossip/NN1-VVB ./PUN The/AT0 two/CRD books/NN2 may/VM0 thus/AV0 have/VHI been/VBN peppered/VVN with/PRP little/AJ0 fictions/NN2 ,/PUN but/CJC no/AT0 sharper/AJC or/CJC livelier/AJC"
"EFX","livelier","synthetic","synthetic","synthetic","and/CJC Stravinsky/NP0 visited/VVD him/PNP in/PRP the/AT0 autumn/NN1 of/PRF this/DT0 year/NN1 ,/PUN Craft/NN1 has/VHZ recorded/VVN how/AVQ he/PNP looked/VVD /PUQ younger/AJC and/CJC livelier/AJC""
"ECM","livelier","synthetic","synthetic","synthetic","felt/VVD as/PRP if/CJS some/DT0 great/AJ0 weight/NN1 had/VHD been/VBN lifted/VVN from/PRP her/DPS shoulders/NN2 ./PUN She/PNP visibly/AV0 blossomed/VVD ,/PUN becoming/VVG jollier/AJC ,/PUN livelier/AJC"
"J2B","livelier","synthetic","synthetic","synthetic","change/NN1 at/PRP St./NP0 Anne/NP0 's/POS to/TO0 become/VVI a/AT0 mixed/AJ0 college/NN1 she/PNP writes/VVZ ‘/PUQ The/AT0 college/NN1 is/VBZ distinctly/AV0 noisier/AJC ,/PUN socially/AV0 livelier/AJC"
"HKU","friendly","analytic","synthetic","synthetic","of/PRF State/NN1 for/PRP International/AJ0 Co-operation/NN1 ,/PUN declared/VVD that/CJT relations/NN2 between/PRP the/AT0 two/CRD countries/NN2 had/VHD overcome/VVN earlier/AJC problems/NN2 to/TO0 enter/VVI a/AT0 more/AV0 friendly/AJ0"
"CGC","friendly","analytic","synthetic","synthetic","a/AT0 Sunday/NP0 Times/NN2 writer/NN1 ./PUN ‘/PUQ There/EX0 's/VBZ a/AT0 happy/AJ0 ,/PUN healthy/AJ0 attitude/NN1 ./PUN They/PNP 're/VBB kind/NN1 of/PRF warmer/AJC ,/PUN more/AV0 friendly/AJ0"
"AC5","friendly","analytic","synthetic","synthetic","were/VBD they/PNP now/AV0 ?/PUN His/DPS music/NN1 so/AV0 changed/VVD-VVN the/AT0 streets/NN2 that/CJT the/AT0 gas/NN1 lamps/NN2 looked/VVD-VVN brighter/AJC ,/PUN the/AT0 spiked/AJ0 railings/NN2 more/AV0 friendly/AJ0"
"CH4","friendly","analytic","synthetic","synthetic","a/AT0 fleck/NN1 of/PRF froth/NN1 from/PRP her/DPS lips/NN2 ./PUN When/CJS she/PNP spoke/VVD again/AV0 her/DPS voice/NN1 was/VBD suddenly/AV0 softer/AJC ,/PUN quieter/AJC ,/PUN more/AV0 friendly/AJ0"
"B2T","risky","analytic","synthetic","synthetic","logical/AJ0 ,/PUN rational/AJ0 ways/NN2 ,/PUN which/DTQ of/PRF course/NN1 they/PNP do/VDB not/XX0 ./PUN The/AT0 reality/NN1 is/VBZ a/AT0 good/AJ0 deal/NN1 messier/AJC and/CJC more/AV0 risky/AJ0"
"KRF","friendly","analytic","synthetic","synthetic","just/AV0 plug/VVI into/PRP a/AT0 socket/NN1 ./PUN So/AV0 there/EX0 's/VBZ going/VVG to/TO0 be/VBI a/AT0 shift/NN1 towards/PRP easier/AJC to/TO0 handle/VVI equipment/NN1 ,/PUN more/AV0 friendly/AJ0"
"HAC","friendly","analytic","synthetic","synthetic","familiar/AJ0 with/PRP the/AT0 idea/NN1 of/PRF using/VVG a/AT0 graphical/AJ0 interface/NN1 ,/PUN but/CJC the/AT0 DOS/NN1 5/CRD shell/NN1-VVB is/VBZ far/AV0 better/AJC and/CJC much/AV0 more/AV0 friendly/AJ0"
"EFR","riskier","synthetic","synthetic","synthetic",",/PUN a/AT0 heavy/AJ0 shell/NN1 must/VM0 be/VBI something/PNI of/PRF a/AT0 handicap/NN1 and/CJC some/DT0 carnivorous/AJ0 molluscs/NN2 have/VHB taken/VVN to/PRP a/AT0 faster/AJC if/CJS riskier/AJC"
"ABE","riskier","synthetic","synthetic","synthetic","These/DT0 imperfections/NN2 make/VVB it/PNP all/AV0 the/AT0 more/AV0 important/AJ0 for/PRP regulators/NN2 to/TO0 enforce/VVI the/AT0 BIS/NP0 minimums/NN2 and/CJC set/VVD higher/AJC standards/NN2 for/PRP riskier/AJC"
"AB3","angrier","synthetic","synthetic","none","less/DT0 responsibility/NN1 ?/PUN Would/VM0 n't/XX0 that/DT0 make/VVI you/PNP even/AV0 angrier/AJC with/PRP the/AT0 world/NN1 ?/PUN ‘/PUQ I/PNP think/VVB people/NN0 get/VVB even/AV0 angrier/AJC"
"HWX","angrier","synthetic","analytic","none","you/PNP get/VVB older/AJC you/PNP 're/VBB supposed/AJ0 to/TO0 drift/VVI into/PRP becoming/VVG more/AV0 and/CJC more/AV0 conservative/AJ0 but/CJC I/PNP find/VVB myself/PNX getting/VVG politically/AV0 angrier/AJC"
"HTH","angrier","synthetic","synthetic","none","which/DTQ was/VBD lots/PNI of/PRF electric/AJ0 wire/NN1 ./PUN It/PNP was/VBD a/AT0 lot/NN1 tougher/AJC than/CJS rope/NN1 ./PUN And/CJC they/PNP were/VBD a/AT0 lot/NN1 angrier/AJC"
"ASV","friendlier","synthetic","synthetic","none","the/AT0 highway/NN1 ./PUN His/DPS room/NN1 was/VBD no/AT0 bigger/AJC than/CJS Fat/AJ0 Eric/NP0 's/POS ,/PUN but/CJC the/AT0 people/NN0 in/PRP the/AT0 house/NN1 were/VBD friendlier/AJC"
"BM5","friendlier","synthetic","synthetic","none","what/DTQ Gatso/NP0-NN1 meant/VVD CARS/NN2 WERE/VBD GETTING/VVG SAFER/AJC ,/PUN heavier/AJC ,/PUN slower/AV0 and/CJC ,/PUN to/TO0 quote/VVI Nissan/NP0 with/PRP the/AT0 Micra/NP0 ,/PUN friendlier/AJC"
"ACV","friendlier","synthetic","synthetic","none","ask/VVI you/PNP something/PNI ?/PUN ’/PUQ Mungo/NP0 said/VVD ,/PUN growing/VVG bolder/AJC ./PUN ‘/PUQ It/PNP 's/VBZ a/AT0 free/AJ0 country/NN1 ,/PUN ’/PUQ the/AT0 friendlier/AJC"
"ABL","livelier","synthetic","synthetic","none","and/CJC soothed/VVD her/PNP …/PUN ./PUN For/PRP her/DPS younger/AJC sister/NN1 I/PNP felt/VVD a/AT0 similar/AJ0 affection/NN1 and/CJC admiration/NN1 ./PUN …/PUN She/PNP sang/VVD livelier/AJC"
"A11","livelier","synthetic","synthetic","none","been/VBN built/VVN on/PRP foundations/NN2 that/CJT were/VBD perhaps/AV0 sounder/AJC than/CJS people/NN0 generally/AV0 thought/VVD-VVN ten/CRD years/NN2 ago/AV0 ,/PUN the/AT0 combination/NN1 of/PRF a/AT0 livelier/AJC"
"A0G","lively","analytic","synthetic","none","and/CJC stand/VVB forward/AV0 from/PRP paler/AJC flowers/NN2 ./PUN White/NP0-NN1 illuminates/VVZ dark/AJ0 corners/NN2 and/CJC en/UNC masse/UNC provides/VVZ a/AT0 still/AJ0 breathing/NN1 space/NN1 among/PRP more/AV0 lively/AJ0"
"BM1","risky","analytic","synthetic","none","necessary/AJ0 because/CJS there/EX0 are/VBB important/AJ0 medical/AJ0 differences/NN2 between/PRP young/AJ0 patients/NN2 and/CJC older/AJC ones/NN2 ./PUN Altering/VVG the/AT0 diet/NN1 is/VBZ also/AV0 far/AV0 more/AV0 risky/AJ0"
"K59","risky","analytic","synthetic","none","also/AV0 funds/NN2 investing/VVG in/AVP-PRP much/AV0 smaller/AJC economies/NN2 representing/VVG 1/CRD per/UNC cent/UNC or/CJC less/DT0 of/PRF world/NN1 capitalisation/NN1 ./PUN They/PNP are/VBB much/AV0 more/AV0 risky/AJ0"
"CR7","risky","analytic","synthetic","none","of/PRF attrition/NN1 against/PRP parliament/NN1 ,/PUN albeit/CJS from/PRP a/AT0 position/NN1 of/PRF greater/AJC strength/NN1 since/PRP the/AT0 referendum/NN1 ./PUN The/AT0 other/AJ0-NN1 ,/PUN much/AV0 more/AV0 risky/AJ0"
"KRG","friendly","analytic","synthetic","none",",/PUN and/CJC that/DT0-CJT would/VM0 make/VVI computers/NN2 much/AV0 easier/AJC to/TO0 learn/VVI to/TO0 use/VVI ./PUN You/PNP talked/VVD a/AT0 lot/NN1 about/PRP computers/NN2 being/VBG more/AV0 friendly/AJ0"
"CE1","empty","analytic","synthetic","none","held/VVN by/PRP many/DT0 older/AJC people/NN0 who/PNQ are/VBB in/PRP need/NN1 of/PRF counselling/NN1 support/NN1-VVB ./PUN They/PNP see/VVB their/DPS lives/NN2 as/CJS becoming/VVG progressively/AV0 more/AV0 empty/AJ0"
"KPV","angry","analytic","analytic","analytic","it/PNP even/AV0 worse/AJC because/CJS you/PNP go/VVB round/AVP and/CJC round/AVP in/PRP circles/NN2 ,/PUN and/CJC you/PNP know/VVB and/CJC the/AT0 more/DT0 [unclear]/UNC The/AT0 more/AV0 angry/AJ0"
"FSA","riskier","synthetic","synthetic","none","for/PRP the/AT0 next/ORD near/PRP contract/NN1 were/VBD larger/AJC than/CJS those/DT0 for/PRP the/AT0 near/AJ0 contract/NN1 ,/PUN which/DTQ is/VBZ consistent/AJ0 with/PRP arbitrage/NN1 being/VBG riskier/AJC"
"HW9","riskier","synthetic","synthetic","none","in/PRP profits/NN2 ,/PUN by/PRP £160/NN0 (/PUL 1.4%/UNC )/PUR —/PUN much/AV0 higher/AJC break/NN1 even/AJ0 point/VVB-NN1 ,/PUN and/CJC therefore/AV0 the/AT0 proposal/NN1 is/VBZ riskier/AJC"
"H8E","riskier","synthetic","synthetic","none","than/CJS 3/CRD per/UNC cent/UNC ,/PUN and/CJC better/AJC returns/NN2 could/VM0 almost/AV0 always/AV0 be/VBI obtained/VVN abroad/AV0 ./PUN However/AV0 ,/PUN these/DT0 were/VBD generally/AV0 riskier/AJC"
"CR7","riskier","synthetic","synthetic","none","face/VVB tougher/AJC loan/NN1 conditions/NN2 than/CJS Russia/NP0 ./PUN The/AT0 second/ORD is/VBZ that/CJT the/AT0 institutions/NN2 '/POS loan/NN1 portfolios/NN2 are/VBB likely/AJ0 to/TO0 grow/VVI riskier/AJC"
"H8X","sorrier","synthetic","synthetic","none","I/PNP am/VBB so/AV0 sorry/AJ0 ./PUN I/PNP am/VBB sorrier/AJC than/CJS you/PNP will/VM0 ever/AV0 understand/VVI ,/PUN Mr/NP0 Swinton/NP0 ,/PUN much/AV0 ,/PUN much/AV0 sorrier/AJC"
"CEX","sorrier","synthetic","synthetic","none","her/DPS young/AJ0 lover/NN1 ,/PUN made/VVD me/PNP sorrier/AJC for/PRP Flora/NP0 than/CJS I/PNP might/VM0 otherwise/AV0 have/VHI been/VBN ./PUN I/PNP would/VM0 have/VHI been/VBN sorrier/AJC"
"CEC","sorry","analytic","none","none","his/DPS port/NN1 glass/NN1 ./PUN He/PNP spoke/VVD earnestly/AV0 :/PUN ‘/PUQ I/PNP am/VBB very/AV0 sorry/AJ0 about/PRP this/DT0 Spidex/NN1 business/NN1 ,/PUN Rober'/NP0 ./PUN More/AV0 sorry/AJ0"
"C8S","angrier","synthetic","none","none","colonial/AJ0 prosperity/NN1 ./PUN It/PNP made/VVD him/PNP angry/AJ0 ;/PUN Jean-Paul/NP0 's/POS smugness/NN1 ,/PUN and/CJC that/DT0 of/PRF his/DPS friends/NN2 ,/PUN made/VVD him/PNP angrier/AJC"
"CGB","angrier","synthetic","none","none","where/AVQ to/TO0 look/VVI or/CJC go/VVI next/ORD ./PUN However/AV0 ,/PUN they/PNP know/VVB enough/AV0 to/TO0 avoid/VVI the/AT0 angry/AJ0 man/NN1 ,/PUN now/AV0 getting/VVG angrier/AJC"
"CMR","angrier","synthetic","none","none","women/NN2 's/POS personal/AJ0 experience/NN1 ./PUN Woman-centred/AJ0 psychologists/NN2 also/AV0 criticize/VVB the/AT0 gender/NN1 bias/NN1 of/PRF traditional/AJ0 psychological/AJ0 method/NN1 ./PUN They/PNP get/VVB much/AV0 angrier/AJC"
"CES","angrier","synthetic","none","none","any/DT0 kind/NN1 of/PRF resource/NN1-VVB that/CJT motivated/VVD him/PNP ./PUN He/PNP hated/VVD to/TO0 see/VVI a/AT0 dripping/AJ0 tap/NN1 ,/PUN and/CJC nothing/PNI made/VVD him/PNP angrier/AJC"
"KGK","angrier","synthetic","none","none","have/VHI happened/VVN had/VHD the/AT0 Lieutenant/NP0 Commander/NP0 been/VBN prepared/AJ0 to/TO0 listen/VVI to/PRP us/PNP and/CJC of/PRF course/NN1 you/PNP could/VM0 see/VVI him/PNP getting/VVG angrier/AJC"
"CRC","angrier","synthetic","none","none","left/VVN Kosovo/NP0 in/PRP the/AT0 past/AJ0-NN1 couple/NN1 of/PRF years/NN2 ./PUN Those/DT0 who/PNQ have/VHB stayed/VVN ,/PUN especially/AV0 the/AT0 young/AJ0 ,/PUN are/VBB getting/VVG angrier/AJC"
"CH4","angrier","synthetic","none","none","!/PUN The/AT0 unfairness/NN1 !/PUN How/AVQ dare/VM0 they/PNP expel/VVI her/PNP for/PRP something/PNI she/PNP had/VHD n't/XX0 done/VDN !/PUN Matilda/NP0 felt/VVD herself/PNX getting/VVG angrier/AJC"
"CEC","angrier","synthetic","none","none","as/CJS though/CJS the/AT0 ship/NN1 is/VBZ lost/VVN at/PRP sea/NN1 ./PUN I/PNP said/VVD it/PNP was/VBD preposterous/AJ0 ,/PUN but/CJC that/DT0 made/VVD him/PNP even/AV0 angrier/AJC"
"KDA","angrier","synthetic","none","none","blame/VVI for/PRP it/PNP ./PUN [unclear]/UNC It/PNP 's/VBZ really/AV0 nice/AJ0 and/CJC sweet/AJ0 all/DT0 day/NN1 and/CJC it/PNP 's/VBZ fucking/AV0-AJ0 making/VVG me/PNP even/AV0 angrier/AJC"
"CDK","angrier","synthetic","none","none","a/AT0 meeting/NN1 where/AVQ the/AT0 people/NN0 present/AJ0 are/VBB your/DPS customers/NN2 and/CJC you/PNP can/VM0 not/XX0 show/VVI your/DPS anger/NN1 ;/PUN you/PNP gradually/AV0 get/VVB angrier/AJC"
"KRL","angrier","synthetic","none","none","./PUN erm/UNC the/AT0 women/NN2 that/CJT I/PNP talk/VVB to/PRP in/PRP groups/NN2 up/AVP and/CJC down/PRP-AVP this/DT0 county/NN1 ,/PUN I/PNP think/VVB some/DT0 are/VBB angrier/AJC"
"F9X","angrier","synthetic","none","none","With/PRP a/AT0 heavy/AJ0 cargo/NN1 ,/PUN I/PNP 'd/VM0 say/VVI ./PUN And/CJC we/PNP 're/VBB not/XX0 on/PRP it/PNP ./PUN ’/PUQ He/PNP was/VBD getting/VVG angrier/AJC"
"FSJ","angrier","synthetic","none","none","‘/PUQ let's/VM0 go/VVI ashore/AV0 and/CJC find/VVI Flint/NP0 's/POS treasure/NN1 ./PUN ’/PUQ Twelve/CRD days/NN2 we/PNP searched/VVD ,/PUN and/CJC the/AT0 men/NN2 got/VVD angrier/AJC"
"CBF","angrier","synthetic","none","none","in/PRP Hounslow/NP0 ,/PUN west/NN1 London/NP0 ,/PUN was/VBD clamped/VVN ,/PUN the/AT0 Old/AJ0 Bailey/NP0-NN1 heard/VVD yesterday/AV0 ./PUN The/AT0 former/DT0 soldier/NN1 grew/VVD even/AV0 angrier/AJC"
"KA2","angrier","synthetic","none","none",",/PUN he/PNP having/VHG trouble/NN1 making/VVG articulate/AJ0 sentences/NN2 due/AJ0 to/PRP his/DPS excessive/AJ0 amount/NN1 of/PRF drink/NN1 ,/PUN which/DTQ only/AV0 made/VVD-VVN him/PNP yet/AV0 angrier/AJC"
"CBC","angrier","synthetic","none","none","cry/VVB it/PNP makes/VVZ things/NN2 ten/CRD times/NN2 worse/AV0 ./PUN If/CJS you/PNP get/VVB angry/AJ0 with/PRP your/DPS tormentors/NN2 they/PNP delight/VVB in/PRP-AVP making/VVG you/PNP angrier/AJC"
"CAK","angrier","synthetic","none","none","him/PNP the/AT0 book/NN1 would/VM0 place/VVI him/PNP under/PRP-AVP a/AT0 sense/NN1 of/PRF obligation/NN1 ./PUN But/CJC when/CJS we/PNP next/ORD talked/VVD he/PNP was/VBD even/AV0 angrier/AJC"
"FU8","angrier","synthetic","none","none","had/VHD given/VVN no/AT0 indication/NN1 what/DTQ chastisement/NN1 he/PNP planned/VVD ,/PUN they/PNP knew/VVD from/PRP the/AT0 severity/NN1 of/PRF his/DPS expression/NN1 that/CJT he/PNP was/VBD angrier/AJC"
