"FileID","Verb","Complement","MatrixVerb","Aktionsart","CorpusExample"
"A18","film","to","begin","activity","as the director , Otto Preminger , <began to film> recently in Washington , our old friends reality and illusion were busy providing some choice examples of their relationship in film terms ."
"F22","fire","to","start","activity","soon this was confirmed as she <started to fire> distress rockets , and I saw the maroon from shore announcing the launching of the Caister lifeboat ."
"N27","fish","ing","start","activity","for god's sake stop chafing and <start fishing> ... ' he grinned maliciously ` you can have a couple of my spare nets . ''"
"P02","flirt","ing","start","activity","if he could come all the way to Marjorca to see her and then immediately <start flirting> with the first pretty girl that he met , and in front of her , it showed only too plainly that his affection for her had no depths at all ."
"A12","get","to","begin","activity","they <began to get> a ladder to put up to the attic window , and I went to call for the police ."
"N12","go","to","begin","activity","they <began to go> everywhere , so that people learned to say :"
"L07","handle","ing","start","activity","even if you 're wrong you 'll most certainly be in danger when you <start handling> a boat . '"
"R09","hiss","to","begin","activity","it felt thwarted , and <began to hiss> ."
"R09","hiss","ing","start","activity","it <started hissing> again ."
"G17","honk","ing","begin","activity","as it got light geese <began honking> all round ."
"K14","hurry","to","start","activity","she saw Benvenuto get into the truck among the first without looking either right or left ; she saw the soldier help one of the wounded up over the tail-gate ; she saw the Colonel <start to hurry> the line along , pushing each man along by the shoulders ; and when she was a few prisoners away from boarding the truck herself , she saw the Colonel step on her shoe ."
"F13","invent","ing","start","activity","one little slip , and you will have to <start inventing> lies on your feet , to cover up that slip ."
"A29","issue","ing","start","activity","angry west Berliners , shouting , ~ ` get out , you pigs , ' gathered outside the Zoo railway station to-day after the East German officials who run it <started issuing> permits ."
"E32","jot","ing","start","activity","returning from their round-the-world tour and faced with the naming of a couple of litters awaiting their arrival , Mrs Wilson Wiley , to while away time ( no pun intended ) on the last leg of the journey , <started jotting> down names of accessories such as jewellery ."
"P13","kiss","to","begin","activity","he <began to kiss> her mouth , deliberately trying to rouse her , experiencing the first thrill of her being as she responded ."
"K03","leave","to","begin","activity","they <began to leave> the committee room like a pattern of the trends in the party ."
"A17","look","to","begin","activity","anyway , once you <begin to look> at the problem , there is almost nothing you can take a child to ."
"E11","look","ing","start","activity","a distinguished war career counts for very little when hostilities cease and you don civilian clothes to <start looking> for a job ."
"J23","look","to","begin","activity","later , the children <began to look> for a measuring instrument , and some of them began using their own bodies for this purpose ."
"J46","look","to","begin","activity","indeed , one inevitably gets into difficulty if one has to use , as so often happens in analyses of world trade , the same figures as representing both world supply and world demand ; and when one <begins to look> at the position of individual semi-industrialised countries , Argentina for example , there seems strong evidence that there has been a reduction in the supply of primary products for export , and a substantial case for arguing that Argentinian economic and commercial policy has been an important element in this reduction ."
"R07","look","ing","start","activity","no garage will have a washer that size , you 'd better <start looking> for it in the grass ."
"N21","lumber","to","start","activity","she heard him shout , and <start to lumber> after her ."
"E02","make","to","start","activity","many a man has <started to make> something in wood , possibly out of economic necessity , and has then continued to do woodwork from the sheer joy of doing it ."
"K28","make","to","begin","activity","Mark <began to make> melancholy love with the trumpet and Julian was stricken as by Celia's pathos at dinner ."
"P24","make","ing","start","activity","` do n't <start making> a fuss all over again Charlotte , there 's a good girl , ' Esmond said ."
"D16","meddle","ing","start","activity","that 's why John <started meddling> in politics ."
"D16","mess","ing","start","activity","but now they <started messing> about with his children ."
"K09","mimic","to","begin","activity","when he started his sales talk ... ' and she <began to mimic> him ironically : ~ ` ` my friends , I have here the age-old remedies of the famous Shoshone Indians , the essences that made them strong and virile ... ' nobody in the crowd would even glance at his bottles ."
"K15","mount","to","begin","activity","I <began to mount> the stairs , leaning hard on the banisters and stepping softly ."
"K03","move","to","begin","activity","and to the accompaniment of the first fat raindrops , they <began to move> swiftly away in pairs ."
"L17","move","to","begin","activity","he half grinned when he saw Light's hand <begin to move> towards his left armpit ."
"L18","move","ing","start","activity","the auditorium had eight hundred seats but more than twice that number were waiting outside and fifteen minutes after the line <started moving> , there was n't a seat to be had outside of the section reserved for principals and officials ."
"P13","move","ing","start","activity","we 've time if I <start moving> tomorrow ."
"F25","murmur","to","begin","activity","some <began to murmur> that they should turn back while there was yet time ."
"N22","nod","to","start","activity","he <started to nod> , then checked himself ."
"F02","offer","to","start","activity","on the initiative of the Principal , Mr H A Jones , this well-known London county council institute has recently <started to offer> day-release courses in preparation for retirement , following an encouraging experiment with members of the Unilever pensioners welfare organisation ."
"P07","open","to","start","activity","a waiter came along with the glasses and the champagne , he <started to open> the bottle ."
"L01","pass","to","begin","activity","outside the family he <began to pass> himself off as Michael Caxton ."
"G56","place","to","begin","activity","then two men with shovels <began to place> the mould in the cavity : as it approached to the pit of his stomach he kept lifting up his shirt and at last took it entirely off , the earth being up to his chin and the doctor being left in puris naturalibus ."
"A09","play","to","start","activity","both have <started to play> golf ."
"P07","play","to","start","activity","the band had just <started to play> a waltz ."
"F44","prepare","to","begin","activity","well , on his return from ` down under ' at the end of next month , he will <begin to prepare> for his starring appearance in Coventry Theatre's colourful ( not to mention star-studded ) ` spring show , ' which opens on Easter Monday ."
"J68","print","to","begin","activity","( incidentally , these countries <began to print> music quite early ; a Czech-printed catholic Kancionál appeared in 1529 and a Polish music-publisher , L*?11azarz Andrysowic , was active at Cracow from 1553 onward ) ."
"G14","pull","ing","start","activity","people would panic and <start pulling> the communication cord ."
"N18","pull","ing","begin","activity","another pair of hands caught hold of her and <began pulling> her away from the fighting men ."
"N21","push","to","begin","activity","she went across and slowly <began to push> it over the floor ."
"G09","put","to","begin","activity","I was <beginning to put> on the agony of the squire , the yeoman farmer , the old A G Street romantic stuff ."
"G24","put","to","begin","activity","with experience I began to get the hang of tuning my 5-\0h.p Indian , lightening the pistons and putting up the compression and generally fiddling , until I <began to put> up faster times than the works riders , which gave me more pleasure than anything ."
"M04","read","to","begin","activity","quelled , Mr Price pulled out a grocery list , pushed his glasses up on his nose , and <began to read> ."
"N21","read","to","begin","activity","her fears somewhat lulled , she <began to read> ."
"H26","record","to","begin","activity","the Dowager Lady Rigby has generously presented an autograph manuscript of Sir Frederic Treves in which he <began to record> his reminiscences of unusual cases or distinguished patients ."
"L12","remake","ing","begin","activity","while it was warming up I <began remaking> the bed ."
"L17","remove","to","begin","activity","his hand took Loddon on the other cheek , then he <began to remove> his jacket ."
"L16","retrace","to","begin","activity","he lit a cigarette and <began to retrace> his steps ."
"F20","return","to","begin","activity","Stone Bower served the elderly folk until 1945 , when many of the conscientious objectors <began to return> to their own jobs ."
"P26","ring","ing","start","activity","they finished the tea and then Alan <started ringing> people up ."
"N21","rise","to","begin","activity","he <began to rise> slowly from the table ."
"L17","roll","ing","begin","activity","they <began rolling> over and over , hands at throats and eyes , crashing into the silent Shiner Light on the way ."
"P10","rub","to","start","activity","Gaby <started to rub> at her feet with a wisp of a handkerchief ."
"M04","run","ing","start","activity","<start running> punctual and - where are you ?"
"M04","run","ing","start","activity","` <start running> punctual and where are you ?"
"N16","run","ing","start","activity","relieved , she <started running> in the opposite direction , towards the lights and the town , lifting her skirt to free her knees ."
"N19","run","ing","start","activity","Santos could not contain himself any longer : when he saw his dejected enemy before him he <started running> towards the helicopter ."
"N16","save","ing","start","activity","` you ought to <start saving> now you 're in a good job , as your mother and I did when we were young . '"
"K06","say","to","start","activity","sometimes he <started to say> things in a hoarse whisper , looking ahead as if there might be people to either side who would stop him , but never got further than one or two words ."
"K21","scale","ing","begin","activity","Joe Joe nearly said , ~ ` why did n't you clean them yourself , by Saint Christopher ? ' but remembered Father Brenes and instead picked up the fish and <began scaling> them with the all-purpose knife ."
"K03","scurry","to","begin","activity","the lake started to become dappled with rain , there was a dazzling flash , followed by a massive roll , and soon the Park <began to scurry> with figures running for shelter from the storm ."
"G30","search","to","begin","activity","being once more footloose and fancy free in London , I <began to search> round for a fresh interest ."
"C17","sell","ing","begin","activity","later , still in the same shop , he <began selling> left-handed teacups to a gullible public ."
"P08","serve","to","begin","activity","she bowed gravely to Julia , acknowledging the girl's greeting , and <began to serve> in her usual silence ."
"B07","shift","ing","start","activity","but little has yet been said about the way in which we might <start shifting> some of the burden of tax from income and earning ( what we put into the pool ) on to spending ( what we take out of it ) , and about the main existing indirect tax , purchase tax ."
"N08","shoulder","to","begin","activity","he edged forward , <began to shoulder> her aside , to get freedom for the arm and the hand which held the pistol ."
"F14","shout","ing","start","activity","` she <started shouting> that I could leave as soon as I liked , ' Sheila confided afterwards ."
"K27","shout","ing","start","activity","what if his trousers fell off tonight and all the girls at the dance <started shouting> ... ."
"L13","shout","ing","begin","activity","perhaps he ought to <begin shouting> an injunction to open in the name of the law ."
"K14","shuffle","ing","start","activity","as they <started shuffling> back towards the truck she tried to keep walking evenly , in spite of the fact that one foot was now higher than the other ."
"L17","signal","to","begin","activity","Loddon <began to signal> the waiter ."
"A39","sing","to","start","activity","but she <started to sing> - and that was enough ."
"G20","sing","to","begin","activity","and when the tenor <began to sing> his famous aria , ` des armes , des flambeaux ! ' the audience swept out , drunk with the message , into the summer night ."
"F14","sling","ing","start","activity","` nobody 's going to criticise my baby ' , I said , and <started slinging> some of my things into a suitcase ."
"K16","slip","to","begin","activity","it had been playing the part of a fifth parent for far too long , getting between us whenever we <began to slip> from sofa to hearthrug , raising a finger if we reached the feverish point of asking a favour from it ."
"A07","specialise","to","begin","activity","eleven years ago the enterprising Mr Harvey <began to specialise> in contributions by well-known sportsmen ."
"C14","specialize","to","begin","activity","it seems aimed in particular at the sixth-former <beginning to specialize> , who ought to be given every chance to read such first-hand accounts of the advances made in subjects whose dead past is already all too familiar from the text-books ."
"A20","spin","ing","start","activity","needless to say the jugglers <start spinning> Marxist slogans as soon as they have finished their advertised act ."
"L03","sprint","ing","begin","activity","Kennan aimed , then lowered the gun and <began sprinting> instead ."
"P05","straighten","ing","begin","activity","she jumped up and <began straightening> some magazines on the table ."
"N03","stride","to","begin","activity","not until he was certain the yawl had successfully got away from the rocks did the judge <begin to stride> to and fro on his wide veranda , and then not really realizing what he was doing ."
"N21","stumble","to","begin","activity","again there was that awful silence - silence except for the sound of a man with an axe , who <began to stumble> up the stairs ."
"P26","swing","ing","start","activity","he <started swinging> the front door nervously ."
"C02","take","to","begin","activity","in 1950 he <began to take> photographs not only in Germany but also in Africa and America ."
"K16","take","to","begin","activity","` I am <beginning to take> off my clothes , ' she said distinctly ."
"A26","talk","to","start","activity","a man with something on his mind <starts to talk> , and those around him join in ."
"B02","talk","ing","start","activity","time to <start talking> ."
"D16","talk","to","start","activity","so priests and politicians before they <start to talk> about their rights must remember that the most important rights in the world are the rights of families ."
"F05","talk","to","begin","activity","the more clamant element among the Rhodesia settlers , incensed at the growing hostility in Britain , <began to talk> loudly of secession , of a central African version of the Boston tea-party ."
"G13","talk","to","begin","activity","as he was handing his hat to the second of two servants standing by , a ` pleasantly smiling man , ' appearing at the study door , <began to talk> in excellent English about Mr Wells's journey ."
"K06","talk","to","start","activity","presently she <started to talk> and he was letting her ."
"K16","talk","to","begin","activity","she suddenly <began to talk> about bicycles , of all ridiculous things ."
"K28","talk","to","start","activity","` he 's staying at my flat just now , ' said Celia , and they all <started to talk> at once ."
"L20","talk","to","begin","activity","` eeeh , lad , better leave it to me , ' said the Yorkshireman and <began to talk> in surprisingly colloquial French in spite of an unbelievable admixture of Yorkshire accent ."
"N19","talk","ing","start","activity","he took his microphone and <started talking> slowly , deliberately ."
"K27","tap","ing","begin","activity","` stand up straight much ? ' the doctor asked , and he <began tapping> his teeth with the tongue-depressor he had in his hand ."
"L19","teeter","ing","begin","activity","a prefect ushered us to our seats in the second row , and the school orchestra in front <began teetering> nervously on their violins ."
"P15","tell","to","start","activity","I <started to tell> him about Dorcas Mallory ."
"L06","tidy","to","start","activity","she wished that she 'd <started to tidy> up and had n't been found like this - a mess ."
"K15","touch","to","begin","activity","caught in the coils of such stupidity I could not yet even <begin to touch> with my imagination the notion that she should have had her brother as a lover ."
"C15","train","ing","begin","activity","the Heffer Gallery have just opened an exhibition of the works of Stanislas Reychan , the Polish soldier who <began training> as a potter at the age of 52 ."
"L22","trickle","to","begin","activity","the rest was easy , just a matter of waiting in the shadow of a doorway until the men <began to trickle> out ."
"L17","twist","to","begin","activity","then Loddon got confused , but he had an idea they turned round the Albert Hall and <began to twist> in a multitude of small streets , halting at last ."
"N08","twist","to","begin","activity","I <began to twist> and turn , feeling the wire heat up between my fingers , begin to burn my flesh , but I ignored it and kept twisting until a piece of about six inches in length came free ."
"K16","unbutton","ing","begin","activity","with the assurance of that kiss still between us , she drew the curtains so that the fading day was narrowed to a slot of deep amber light , then stood on the opposite side of the bed , her eyes stark and unpretending and fixed on mine , and <began unbuttoning> her blouse ."
"J39","undertake","to","begin","activity","there were pupil teacher centres ; and a ` college ' in the Greystoke Place building off Chancery Lane <began to undertake> this work in a manner which the leader of the L.C.C has in more recent times publicly described as illegal ."
"B22","unload","ing","start","activity","so please do n't <start unloading> bundles of old bus tickets at his office !"
"K26","unpack","to","begin","activity","I then <began to unpack> my briefcase ."
"A14","use","to","begin","activity","eventually the judge agreed to allow Mr Jones to drive him home in his own car , but on the way <began to use> threatening language , and tried to grapple with Mr Jones ."
"G67","use","to","begin","activity","it does suggest that , like Max Weber , they might <begin to use> their heads ."
"J23","use","ing","begin","activity","later , the children began to look for a measuring instrument , and some of them <began using> their own bodies for this purpose ."
"K17","wade","to","begin","activity","her heart hammering , she <began to wade> from the kitchen ."
"G29","walk","to","begin","activity","she <began to walk> at the age of twelve months when she unexpectedly slipped down from her mother's lap after she had been lifted out of the morning tub , and ran to catch patterns of sunlight dancing on the bathroom floor ."
"N19","walk","to","begin","activity","he <began to walk> quickly towards the door ."
"N21","walk","to","begin","activity","threateningly , he <began to walk> towards her ."
"K01","wash","to","begin","activity","his white shirt cuffs were actually starched : he protruded from them his surprisingly thick and hairy wrists and <began to wash> ."
"E08","water","ing","start","activity","with pot-grown fuchsias almost complete dryness during the resting season does not seem to matter , but this season is normally a comparatively short one , and in a heated house it should be safe enough to <start watering> immediately after Christmas ."
"L12","whine","ing","begin","activity","a voice in my head <began whining> :"
"L01","work","ing","begin","activity","she took to Maggie at once ; and at once <began working> on the problem of how to accommodate Fred and a bride within the limited space available ."
"B07","write","ing","start","activity","further up the scale , where progression starts again with surtax , one of the most painful transition periods for the taxpayer is when he has to <start writing> a surtax cheque instead of having tax taken off by PAYE ."
"G09","write","to","begin","activity","then I <began to write> spasmodically - odd descriptions of things I had seen , little experiences , brief character sketches of people I had known ."
"L19","write","to","begin","activity","he gripped my arm , and <began to write> something on the back of his programme ."
"A37","fly","to","begin","process","it seems to be when committees join forces and become either the general purposes committee or a public meeting of the town council that feathers <begin to fly> ."
"K16","tussle","to","begin","activity","my sense of fitness <began to tussle> with my natural inclination to listen sympathetically to anything Priscilla cared to say ."
"G24","appear","to","begin","activity","as these became more popular their importance became recognized by the factories , and works teams <began to appear> ."
"K23","arrive","to","begin","activity","travel-stained furniture vans <began to arrive> at her bidding and our instigation ."
"L22","bark","to","begin","activity","the dogs <began to bark> furiously , but the sound died away as they raced round to the other side of the house ."
"P11","be","ing","start","activity","` oh all right , just to please you I 'll <start being> the niminy-piminy lover she seems to expect , but honestly , Charlotte , she 's such an innocent and she always looks so - so untouched that any man would lose patience and want to bring her down to earth . '"
"G45","buttonhole","to","begin","activity","but it <begins to buttonhole> and brainwash with prefabricated superlatives ."
"F40","escape","to","begin","activity","originally brought here about 1930 to be farmed for their fur , which is known as nutria , the coypu <began to escape> and are now well established in the countryside , notably in East Anglia and especially on the Norfolk Broads ."
"F21","find","to","start","process","the deeper implications of all this only begin to writhe to the surface when we see that the daily telegraph , whence comes this awesome bulletin , describes the worm runners' digest as a publication dealing with ` studies <started to find> out if worms could be taught anything . '"
"F12","fire","to","start","activity","suddenly it <starts to fire> at me and I am wounded in the left arm ."
"L07","move","to","begin","activity","I was more than thankful for his help when we had installed my things and the boat <began to move> ."
"N19","rise","to","begin","activity","as the helicopter <began to rise> they regained their carbines and poured a stream of bullets at the shouting groups of men who were now running out towards the field ."
"K07","satisfy","to","begin","state","the fact that you 're <beginning to satisfy> my physical wants does not change that ."
"G32","assert","to","begin","process","he was now about nineteen , an age when the sense of the ego <begins to assert> itself more fully , and from this time onwards he was gradually to expand his understanding of the spiritual and the eternal nature of man's ego and its relation to the evolution of his consciousness ."
"J56","assume","to","begin","process","and the street-fighter apparatus which some German capitalists , fearful of communism and Moscow , helped him to perfect , <began to assume> , in the S.A and the S.S , forms destined to leave the Italian models far behind ."
"J68","assume","to","begin","process","in the thirteenth century the Czechs were still using non-diastematic neumes ; in the fourteenth they progressed to the stave - and their neumes <began to assume> peculiar rhomboid forms ."
"N19","blink","ing","start","process","his eyes <started blinking> again ."
"M06","bud","to","begin","process","gently , it <began to bud> ."
"N08","burn","to","begin","process","I began to twist and turn , feeling the wire heat up between my fingers , <begin to burn> my flesh , but I ignored it and kept twisting until a piece of about six inches in length came free ."
"P18","change","to","begin","process","he could imagine everyone's surprise when Nelly <began to change> ."
"K17","clog","to","begin","process","Julie padded off to find some clothes , wondering , in spite of all the worry and fear and the tiredness which was <beginning to clog> her , whether she at all resembled Aunt Mary doing the same thing ."
"A32","come","to","start","process","he did <start to come> to himself last back-end , and he impressed on several occasions when his long stride enabled him to lay up in seven furlong spins with more forward companions ."
"M01","come","to","begin","process","then something like a zest for living <began to come> back to Steve and he squeezed her hand ."
"F31","crack","to","begin","process","next the skin <begins to crack> ."
"N21","cry","to","begin","process","the baby upstairs <began to cry> loudly , giving great hiccoughing sobs ."
"H07","decline","to","begin","process","but whereas the national annual average will settle down at something like 1.4 per cent after the ` bulge ' has passed , in the new towns the percentage will generally go on rising ( in some towns into the middle seventies ) reaching levels of perhaps 2.3 per cent in some towns before it <begins to decline> ."
"G15","develop","to","begin","process","the grandiose ideas which Zionism still professed officially seemed to him as remote from reality as ever , but he was happy to see Palestine <beginning to develop> into that ` national spiritual centre ' which the Jewish people needed above all things ."
"N20","dimple","to","begin","process","the blond man's boots scraped the coach top and round small holes <began to dimple> the panelling as the Apaches' bullets struck ."
"P13","dissolve","to","begin","process","the tremendous difficulties ahead <began to dissolve> beneath their sanguine hopes ."
"J71","diverge","to","begin","process","the limit of proportionality of the he30-wp was just below 8 tons / in*:2**: ( 12.7 kg / mm*:2**: ) , and it might be expected that after the critical stress of this value , which occurs at about L/k = 70 , the true torsion-flexure buckling curve would <begin to diverge> from the elastic one ."
"N29","drizzle","to","begin","process","in the afternoon it <began to drizzle> ."
"E08","drop","to","begin","process","as fuchsias <begin to drop> their leaves the supply of water to them should be reduced until eventually they are kept almost dry during the winter ."
"G49","emerge","to","begin","process","the pattern <began to emerge> when Chukhrai made the forty first , and it was consolidated in his more recent film , ballad of a soldier ."
"G69","emerge","to","begin","process","just how it will develop and flower no one knows - but some of its underlying beliefs are <beginning to emerge> , and in any case it is clear that a humanism of this sort can provide powerful religious , moral and practical motivation for life ."
"K01","expand","to","begin","process","as he moved up in the hierarchy - or , rather , was buoyed along by the great influx of personnel below him when the authority became the authority and <began to expand> at an increasing rate with the end of the war - the world of the rulers grew less strange : it occasionally recognized his existence , his promotions became its concern , and he at last saw the possibility of breaking into it ."
"L01","fade","to","begin","process","after her husband died her brain <began to fade> ."
"G21","faint","to","begin","process","I found this had the drawback that as soon as an operation had started I fainted ; the power of suggestion - or the dislike of the naked truth - was such that eventually I even <began to faint> as I entered the hospital gates ."
"L21","fall","to","begin","process","things <began to fall> into place in Jane's mind ."
"L10","ferment","to","begin","process","slowly he stooped to lift the magazine and an idea <began to ferment> in his quick brain ."
"A17","fill","to","begin","process","but he fell oddly silent when the curtain rose , and when the scene <began to fill> with wolves and red Indians , pirates and crocodiles he got off his seat , turned his back to the stage , and - except for occasional terrified glances over his shoulder - spent the rest of the act gazing longingly over my right shoulder at the illuminated word exit ."
"K21","fill","to","start","process","in fact , José was a resourceful and practical person who , one afternoon when the boat had <started to fill> up with water from a large leak , had calmly awakened his brother and then had swum ashore to enlist help , leaving his brother to tread water so as to mark the spot where the boat had sunk ."
"J70","form","to","start","process","the melt is then cooled at a few degrees per hour until crystals <start to form> , or alternatively the flux is evaporated at a constant rate ."
"G09","get","to","begin","process","almost at once , I <began to get> better ."
"G24","get","to","begin","process","with experience I <began to get> the hang of tuning my 5-\0h.p Indian , lightening the pistons and putting up the compression and generally fiddling , until I began to put up faster times than the works riders , which gave me more pleasure than anything ."
"N21","glaze","to","begin","process","his eyes were <beginning to glaze> over ."
"J42","go","to","begin","process","as soon as total output of coal <began to go> down , during the last few years , the output of coal per manshift worked , which had been stationary for a number of years , leaped upwards ."
"A21","happen","to","begin","process","` remove that safety valve and things might <begin to happen> in East Germany ."
"J47","happen","to","begin","process","how big the vacancy proportion has to be before this <begins to happen> is difficult to say : American experience suggests that the critical vacancy level might be about 5 per cent or a little more ."
"K06","happen","to","begin","process","she had never reconciled herself to things which hurt her , and sometimes he was frightened that when bad things <began to happen> she would have so little habit of optimism to support her ."
"M04","happen","to","begin","process","then things <began to happen> ... ."
"E07","hatch","to","start","process","the young mantis <started to hatch> in batches until mid-June ."
"C10","improve","to","begin","process","in the second act things <began to improve> , although Mrs Quickly's famous deep curtseys on the word ` Reverenza ! ' were turned into nonsense by having to be executed on a staircase ."
"F31","improve","to","begin","process","fortunately , it 's equally true that the condition <begins to improve> once the family doctor can induce the parents to accept philosophically the fact that their child has eczema , that there is no specific cure , but that , in time , it 's almost certain to disappear ."
"G21","learn","to","begin","process","from her too I <began to learn> something about pictures , especially those of the old Italian masters ."
"F22","lift","to","start","process","my surmise was right , for an hour or so later her bow <started to lift> to the big ground swell , showing that only her stern was still aground ."
"G31","look","to","begin","process","Ministers of the crown <began to look> with distaste at the contents of their postbags ."
"J39","lose","to","begin","process","but perhaps it was from that preceding summer , when the general bill was fought through many embittered weeks , that Sidney <began to lose> his assured touch in London county politics ."
"L12","make","ing","start","process","that was when the percolator in the living-room <started making> bubbling noises ."
"F17","menstruate","ing","start","process","today's parents can not seem to accept that the girl who <starts menstruating> at eleven is not super-advanced , that indeed they must be prepared to expect this to begin round about this time ."
"K07","ooze","to","begin","process","he learned how to use his hands , how to adore that body without haste , how to caress every inch with his mouth as well , to creep down along her smooth muscles till he lost himself in a rapture of kisses in places he 'd dreamed of , where life <began to ooze> and quickened his heart beat to a thunder ."
"A23","outgrow","to","begin","process","both , broken and trained by different trainers , were blundering jumpers until they were seven , at which age they <began to outgrow> their carelessness , and their getaway burst of speed took over ."
"J01","oxidise","to","start","process","unless it is known at what oxygen potential a given material in the sodium coolant circuit will <start to oxidise> the cell can only be used as has been suggested above , as an oxygen concentration monitor ."
"G09","pall","to","begin","process","even hunting was <beginning to pall> , and in March 1939 I attended what I thought would be the last meet of the staff College draghounds ."
"N05","pump","to","begin","process","he was going to act on his own initiative , and his heart <began to pump> ."
"B15","reach","to","begin","process","will immigration slow down once the British employment market <begins to reach> saturation point ?"
"N29","reel","to","begin","process","he dug his nails deeper into the palms of his hands , as his head <began to reel> ."
