"Token","FreqLabour","FreqLibdem","c","d","GStat","Association"
"barnett",0,3,26040,23584,4.46323619170701,"libdem"
"renting",0,3,26040,23584,4.46323619170701,"libdem"
"danger",0,3,26040,23584,4.46323619170701,"libdem"
"via",0,3,26040,23584,4.46323619170701,"libdem"
"challenging",0,3,26040,23584,4.46323619170701,"libdem"
"sanctuary",0,3,26040,23584,4.46323619170701,"libdem"
"goal",0,3,26040,23584,4.46323619170701,"libdem"
"unaccompanied",0,3,26040,23584,4.46323619170701,"libdem"
"gains",0,3,26040,23584,4.46323619170701,"libdem"
"profession",0,3,26040,23584,4.46323619170701,"libdem"
"suitable",0,3,26040,23584,4.46323619170701,"libdem"
"exclusion",0,3,26040,23584,4.46323619170701,"libdem"
"decision-making",0,3,26040,23584,4.46323619170701,"libdem"
"tariffs",0,3,26040,23584,4.46323619170701,"libdem"
"though",0,3,26040,23584,4.46323619170701,"libdem"
"insulation",0,3,26040,23584,4.46323619170701,"libdem"
"billions",0,3,26040,23584,4.46323619170701,"libdem"
"sentencing",0,3,26040,23584,4.46323619170701,"libdem"
"effects",0,3,26040,23584,4.46323619170701,"libdem"
"product",0,3,26040,23584,4.46323619170701,"libdem"
"terrorist",0,3,26040,23584,4.46323619170701,"libdem"
"smoking",0,3,26040,23584,4.46323619170701,"libdem"
"recycling",0,3,26040,23584,4.46323619170701,"libdem"
"threatens",0,3,26040,23584,4.46323619170701,"libdem"
"condemn",0,3,26040,23584,4.46323619170701,"libdem"
"proceeds",0,3,26040,23584,4.46323619170701,"libdem"
"wait",0,3,26040,23584,4.46323619170701,"libdem"
"front",0,3,26040,23584,4.46323619170701,"libdem"
"regulatory",0,3,26040,23584,4.46323619170701,"libdem"
"easier",0,3,26040,23584,4.46323619170701,"libdem"
"refocusing",0,3,26040,23584,4.46323619170701,"libdem"
"2025",0,3,26040,23584,4.46323619170701,"libdem"
"surveillance",0,3,26040,23584,4.46323619170701,"libdem"
"event",0,3,26040,23584,4.46323619170701,"libdem"
"opening",0,3,26040,23584,4.46323619170701,"libdem"
"federal",0,3,26040,23584,4.46323619170701,"libdem"
"footing",0,3,26040,23584,4.46323619170701,"libdem"
"working-age",0,3,26040,23584,4.46323619170701,"libdem"
"college",0,3,26040,23584,4.46323619170701,"libdem"
"offenders",0,3,26040,23584,4.46323619170701,"libdem"
"anti-corruption",0,3,26040,23584,4.46323619170701,"libdem"
"genuine",0,3,26040,23584,4.46323619170701,"libdem"
"shortage",0,3,26040,23584,4.46323619170701,"libdem"
"ofsted",0,3,26040,23584,4.46323619170701,"libdem"
"spaces",0,3,26040,23584,4.46323619170701,"libdem"
"consumption",0,3,26040,23584,4.46323619170701,"libdem"
"expression",0,3,26040,23584,4.46323619170701,"libdem"
"longer-term",0,3,26040,23584,4.46323619170701,"libdem"
"design",0,3,26040,23584,4.46323619170701,"libdem"
"artificial",0,3,26040,23584,4.46323619170701,"libdem"
"proven",0,3,26040,23584,4.46323619170701,"libdem"
"chances",0,3,26040,23584,4.46323619170701,"libdem"
"boundary",0,3,26040,23584,4.46323619170701,"libdem"
"productive",0,3,26040,23584,4.46323619170701,"libdem"
"mp",0,3,26040,23584,4.46323619170701,"libdem"
"identification",0,3,26040,23584,4.46323619170701,"libdem"
"aimed",0,3,26040,23584,4.46323619170701,"libdem"
"excellent",0,3,26040,23584,4.46323619170701,"libdem"
"opposed",0,3,26040,23584,4.46323619170701,"libdem"
"weekend",0,3,26040,23584,4.46323619170701,"libdem"
"request",0,3,26040,23584,4.46323619170701,"libdem"
"want",8,17,26032,23570,4.26760123127944,"libdem"
"clear",4,11,26036,23576,4.12743078469266,"libdem"
"innovation",4,11,26036,23576,4.12743078469266,"libdem"
"who",32,46,26008,23541,4.10887592699579,"libdem"
"parents",9,18,26031,23569,4.01683130829836,"libdem"
"wales",9,18,26031,23569,4.01683130829836,"libdem"
"research",7,15,26033,23572,3.82384599331506,"libdem"
"find",3,9,26037,23578,3.76335005289381,"libdem"
"fight",3,9,26037,23578,3.76335005289381,"libdem"
"central",3,9,26037,23578,3.76335005289381,"libdem"
"to",852,845,25188,22742,3.61111811810821,"libdem"
"funded",2,7,26038,23580,3.45924285681971,"libdem"
"very",2,7,26038,23580,3.45924285681971,"libdem"
"offer",2,7,26038,23580,3.45924285681971,"libdem"
"devolve",2,7,26038,23580,3.45924285681971,"libdem"
"open",6,13,26034,23574,3.38102659362526,"libdem"
"additional",6,13,26034,23574,3.38102659362526,"libdem"
"facing",1,5,26039,23582,3.32183415937597,"libdem"
"remit",1,5,26039,23582,3.32183415937597,"libdem"
"focusing",1,5,26039,23582,3.32183415937597,"libdem"
"legally",1,5,26039,23582,3.32183415937597,"libdem"
"career",1,5,26039,23582,3.32183415937597,"libdem"
"flexible",1,5,26039,23582,3.32183415937597,"libdem"
"illegal",1,5,26039,23582,3.32183415937597,"libdem"
"formula",1,5,26039,23582,3.32183415937597,"libdem"
"excessive",1,5,26039,23582,3.32183415937597,"libdem"
"nature",1,5,26039,23582,3.32183415937597,"libdem"
"borrowing",1,5,26039,23582,3.32183415937597,"libdem"
"graduates",1,5,26039,23582,3.32183415937597,"libdem"
"disadvantaged",1,5,26039,23582,3.32183415937597,"libdem"
"?",1,5,26039,23582,3.32183415937597,"libdem"
"elections",1,5,26039,23582,3.32183415937597,"libdem"
"parental",1,5,26039,23582,3.32183415937597,"libdem"
"saving",1,5,26039,23582,3.32183415937597,"libdem"
"humanitarian",1,5,26039,23582,3.32183415937597,"libdem"
"electricity",1,5,26039,23582,3.32183415937597,"libdem"
"binding",1,5,26039,23582,3.32183415937597,"libdem"
"40",1,5,26039,23582,3.32183415937597,"libdem"
"relief",1,5,26039,23582,3.32183415937597,"libdem"
"affect",1,5,26039,23582,3.32183415937597,"libdem"
"budget",4,10,26036,23577,3.28535271694617,"libdem"
"2020",4,10,26036,23577,3.28535271694617,"libdem"
"recognise",4,10,26036,23577,3.28535271694617,"libdem"
"technology",4,10,26036,23577,3.28535271694617,"libdem"
"introducing",10,18,26030,23569,3.17965262185727,"libdem"
"support",64,78,25976,23509,3.12396876485338,"libdem"
"what",7,14,26033,23573,3.12382888010217,"libdem"
"must",15,24,26025,23563,3.08401997335062,"libdem"
"care",49,63,25991,23524,3.4214195872164,"libdem"
"home",11,19,26029,23568,3.02607322919681,"libdem"
"higher",5,12,26035,23575,3.705283224821,"libdem"
"live",5,12,26035,23575,3.705283224821,"libdem"
"particular",5,12,26035,23575,3.705283224821,"libdem"
"dangers",0,2,26040,23585,2.97544629801191,"libdem"
"tides",0,2,26040,23585,2.97544629801191,"libdem"
"carry",0,2,26040,23585,2.97544629801191,"libdem"
"usage",0,2,26040,23585,2.97544629801191,"libdem"
"standing",0,2,26040,23585,2.97544629801191,"libdem"
"jobcentres",0,2,26040,23585,2.97544629801191,"libdem"
"voters",0,2,26040,23585,2.97544629801191,"libdem"
"energy-efficient",0,2,26040,23585,2.97544629801191,"libdem"
"urgently",0,2,26040,23585,2.97544629801191,"libdem"
"legislated",0,2,26040,23585,2.97544629801191,"libdem"
"so-called",0,2,26040,23585,2.97544629801191,"libdem"
"controlling",0,2,26040,23585,2.97544629801191,"libdem"
"resilient",0,2,26040,23585,2.97544629801191,"libdem"
"mechanism",0,2,26040,23585,2.97544629801191,"libdem"
"younger",0,2,26040,23585,2.97544629801191,"libdem"
"pursuit",0,2,26040,23585,2.97544629801191,"libdem"
"strength",0,2,26040,23585,2.97544629801191,"libdem"
"treating",0,2,26040,23585,2.97544629801191,"libdem"
"persecution",0,2,26040,23585,2.97544629801191,"libdem"
"penalties",0,2,26040,23585,2.97544629801191,"libdem"
"accident",0,2,26040,23585,2.97544629801191,"libdem"
"heads",0,2,26040,23585,2.97544629801191,"libdem"
"minimise",0,2,26040,23585,2.97544629801191,"libdem"
"undermined",0,2,26040,23585,2.97544629801191,"libdem"
"protects",0,2,26040,23585,2.97544629801191,"libdem"
"threatening",0,2,26040,23585,2.97544629801191,"libdem"
"incineration",0,2,26040,23585,2.97544629801191,"libdem"
"pet",0,2,26040,23585,2.97544629801191,"libdem"
"grows",0,2,26040,23585,2.97544629801191,"libdem"
"unaffordable",0,2,26040,23585,2.97544629801191,"libdem"
"processed",0,2,26040,23585,2.97544629801191,"libdem"
"north-east",0,2,26040,23585,2.97544629801191,"libdem"
"band",0,2,26040,23585,2.97544629801191,"libdem"
"ncc",0,2,26040,23585,2.97544629801191,"libdem"
"entrants",0,2,26040,23585,2.97544629801191,"libdem"
"arabia",0,2,26040,23585,2.97544629801191,"libdem"
"passports",0,2,26040,23585,2.97544629801191,"libdem"
"includes",0,2,26040,23585,2.97544629801191,"libdem"
"dubs",0,2,26040,23585,2.97544629801191,"libdem"
"engineering",0,2,26040,23585,2.97544629801191,"libdem"
"bulk",0,2,26040,23585,2.97544629801191,"libdem"
"replacement",0,2,26040,23585,2.97544629801191,"libdem"
"unlimited",0,2,26040,23585,2.97544629801191,"libdem"
"brings",0,2,26040,23585,2.97544629801191,"libdem"
"competitors",0,2,26040,23585,2.97544629801191,"libdem"
"government-backed",0,2,26040,23585,2.97544629801191,"libdem"
"wear",0,2,26040,23585,2.97544629801191,"libdem"
"aware",0,2,26040,23585,2.97544629801191,"libdem"
"answer",0,2,26040,23585,2.97544629801191,"libdem"
"fuel-poor",0,2,26040,23585,2.97544629801191,"libdem"
"scope",0,2,26040,23585,2.97544629801191,"libdem"
"enjoyed",0,2,26040,23585,2.97544629801191,"libdem"
"finds",0,2,26040,23585,2.97544629801191,"libdem"
"mass",0,2,26040,23585,2.97544629801191,"libdem"
"voice",0,2,26040,23585,2.97544629801191,"libdem"
"grant",0,2,26040,23585,2.97544629801191,"libdem"
"midlands",0,2,26040,23585,2.97544629801191,"libdem"
"tens",0,2,26040,23585,2.97544629801191,"libdem"
"she",0,2,26040,23585,2.97544629801191,"libdem"
"16--21",0,2,26040,23585,2.97544629801191,"libdem"
"fleeing",0,2,26040,23585,2.97544629801191,"libdem"
"reuse",0,2,26040,23585,2.97544629801191,"libdem"
"smart",0,2,26040,23585,2.97544629801191,"libdem"
"possession",0,2,26040,23585,2.97544629801191,"libdem"
"imprisonment",0,2,26040,23585,2.97544629801191,"libdem"
"echr",0,2,26040,23585,2.97544629801191,"libdem"
"greener",0,2,26040,23585,2.97544629801191,"libdem"
"diversify",0,2,26040,23585,2.97544629801191,"libdem"
"frustrated",0,2,26040,23585,2.97544629801191,"libdem"
"ultra-low-emission",0,2,26040,23585,2.97544629801191,"libdem"
"flawed",0,2,26040,23585,2.97544629801191,"libdem"
"ones",0,2,26040,23585,2.97544629801191,"libdem"
"restricting",0,2,26040,23585,2.97544629801191,"libdem"
"vehicle",0,2,26040,23585,2.97544629801191,"libdem"
"silk",0,2,26040,23585,2.97544629801191,"libdem"
"bureaucratic",0,2,26040,23585,2.97544629801191,"libdem"
"comply",0,2,26040,23585,2.97544629801191,"libdem"
"repatriated",0,2,26040,23585,2.97544629801191,"libdem"
"opposing",0,2,26040,23585,2.97544629801191,"libdem"
"hyperfast",0,2,26040,23585,2.97544629801191,"libdem"
"improved",0,2,26040,23585,2.97544629801191,"libdem"
"rogue",0,2,26040,23585,2.97544629801191,"libdem"
"openness",0,2,26040,23585,2.97544629801191,"libdem"
"men",0,2,26040,23585,2.97544629801191,"libdem"
"cells",0,2,26040,23585,2.97544629801191,"libdem"
"holds",0,2,26040,23585,2.97544629801191,"libdem"
"match",0,2,26040,23585,2.97544629801191,"libdem"
"organised",0,2,26040,23585,2.97544629801191,"libdem"
"expertise",0,2,26040,23585,2.97544629801191,"libdem"
"inspire",0,2,26040,23585,2.97544629801191,"libdem"
"receipts",0,2,26040,23585,2.97544629801191,"libdem"
"citizenship",0,2,26040,23585,2.97544629801191,"libdem"
"jurisdiction",0,2,26040,23585,2.97544629801191,"libdem"
"passion",0,2,26040,23585,2.97544629801191,"libdem"
"suffers",0,2,26040,23585,2.97544629801191,"libdem"
"knowledge",0,2,26040,23585,2.97544629801191,"libdem"
"globe",0,2,26040,23585,2.97544629801191,"libdem"
"confident",0,2,26040,23585,2.97544629801191,"libdem"
"unemployment",0,2,26040,23585,2.97544629801191,"libdem"
"precious",0,2,26040,23585,2.97544629801191,"libdem"
"optimistic",0,2,26040,23585,2.97544629801191,"libdem"
"eu-funded",0,2,26040,23585,2.97544629801191,"libdem"
"finish",0,2,26040,23585,2.97544629801191,"libdem"
"limiting",0,2,26040,23585,2.97544629801191,"libdem"
"reasons",0,2,26040,23585,2.97544629801191,"libdem"
"introduction",0,2,26040,23585,2.97544629801191,"libdem"
"abolition",0,2,26040,23585,2.97544629801191,"libdem"
"wind",0,2,26040,23585,2.97544629801191,"libdem"
"couples",0,2,26040,23585,2.97544629801191,"libdem"
"pound",0,2,26040,23585,2.97544629801191,"libdem"
"ahead",0,2,26040,23585,2.97544629801191,"libdem"
"bay",0,2,26040,23585,2.97544629801191,"libdem"
"aspects",0,2,26040,23585,2.97544629801191,"libdem"
"zero-waste",0,2,26040,23585,2.97544629801191,"libdem"
"nationalist",0,2,26040,23585,2.97544629801191,"libdem"
"visiting",0,2,26040,23585,2.97544629801191,"libdem"
"politicians",0,2,26040,23585,2.97544629801191,"libdem"
"background",0,2,26040,23585,2.97544629801191,"libdem"
"dividend",0,2,26040,23585,2.97544629801191,"libdem"
"rental",0,2,26040,23585,2.97544629801191,"libdem"
"sovereign",0,2,26040,23585,2.97544629801191,"libdem"
"40,000",0,2,26040,23585,2.97544629801191,"libdem"
"sre",0,2,26040,23585,2.97544629801191,"libdem"
"asking",0,2,26040,23585,2.97544629801191,"libdem"
"exceptional",0,2,26040,23585,2.97544629801191,"libdem"
"liberty",0,2,26040,23585,2.97544629801191,"libdem"
"literacy",0,2,26040,23585,2.97544629801191,"libdem"
"databases",0,2,26040,23585,2.97544629801191,"libdem"
"maths",0,2,26040,23585,2.97544629801191,"libdem"
"anxious",0,2,26040,23585,2.97544629801191,"libdem"
"generously",0,2,26040,23585,2.97544629801191,"libdem"
"alcohol",0,2,26040,23585,2.97544629801191,"libdem"
"wildlife",0,2,26040,23585,2.97544629801191,"libdem"
"investigations",0,2,26040,23585,2.97544629801191,"libdem"
"uprate",0,2,26040,23585,2.97544629801191,"libdem"
"pursuing",0,2,26040,23585,2.97544629801191,"libdem"
"tolerance",0,2,26040,23585,2.97544629801191,"libdem"
"ballot",0,2,26040,23585,2.97544629801191,"libdem"
"equity",0,2,26040,23585,2.97544629801191,"libdem"
"post-study",0,2,26040,23585,2.97544629801191,"libdem"
"encourages",0,2,26040,23585,2.97544629801191,"libdem"
"swansea",0,2,26040,23585,2.97544629801191,"libdem"
"irregular",0,2,26040,23585,2.97544629801191,"libdem"
"clinicians",0,2,26040,23585,2.97544629801191,"libdem"
"resettlement",0,2,26040,23585,2.97544629801191,"libdem"
"floor",0,2,26040,23585,2.97544629801191,"libdem"
"lagoon",0,2,26040,23585,2.97544629801191,"libdem"
"according",0,2,26040,23585,2.97544629801191,"libdem"
"covering",0,2,26040,23585,2.97544629801191,"libdem"
"overcome",0,2,26040,23585,2.97544629801191,"libdem"
"hand",0,2,26040,23585,2.97544629801191,"libdem"
"licensed",0,2,26040,23585,2.97544629801191,"libdem"
"connection",0,2,26040,23585,2.97544629801191,"libdem"
"cannabis",0,2,26040,23585,2.97544629801191,"libdem"
"isolationism",0,2,26040,23585,2.97544629801191,"libdem"
"neither",0,2,26040,23585,2.97544629801191,"libdem"
"outcome",0,2,26040,23585,2.97544629801191,"libdem"
"enter",0,2,26040,23585,2.97544629801191,"libdem"
"prospect",0,2,26040,23585,2.97544629801191,"libdem"
"ringfenced",0,2,26040,23585,2.97544629801191,"libdem"
"constituencies",0,2,26040,23585,2.97544629801191,"libdem"
"types",0,2,26040,23585,2.97544629801191,"libdem"
"dual",0,2,26040,23585,2.97544629801191,"libdem"
"landfill",0,2,26040,23585,2.97544629801191,"libdem"
"roll-out",0,2,26040,23585,2.97544629801191,"libdem"
"lha",0,2,26040,23585,2.97544629801191,"libdem"
"preventive",0,2,26040,23585,2.97544629801191,"libdem"
"cost-effective",0,2,26040,23585,2.97544629801191,"libdem"
"democrat",0,2,26040,23585,2.97544629801191,"libdem"
"passionate",0,2,26040,23585,2.97544629801191,"libdem"
"permanently",0,2,26040,23585,2.97544629801191,"libdem"
"c",0,2,26040,23585,2.97544629801191,"libdem"
"meets",0,2,26040,23585,2.97544629801191,"libdem"
"gangs",0,2,26040,23585,2.97544629801191,"libdem"
"secured",0,2,26040,23585,2.97544629801191,"libdem"
"intolerance",0,2,26040,23585,2.97544629801191,"libdem"
"pupils",0,2,26040,23585,2.97544629801191,"libdem"
"name-blind",0,2,26040,23585,2.97544629801191,"libdem"
"closely",0,2,26040,23585,2.97544629801191,"libdem"
"evening",0,2,26040,23585,2.97544629801191,"libdem"
"2018",0,2,26040,23585,2.97544629801191,"libdem"
"think",0,2,26040,23585,2.97544629801191,"libdem"
"drastically",0,2,26040,23585,2.97544629801191,"libdem"
"outward-looking",0,2,26040,23585,2.97544629801191,"libdem"
"inspection",0,2,26040,23585,2.97544629801191,"libdem"
"ip",0,2,26040,23585,2.97544629801191,"libdem"
"go-ahead",0,2,26040,23585,2.97544629801191,"libdem"
"donald",0,2,26040,23585,2.97544629801191,"libdem"
"surpluses",0,2,26040,23585,2.97544629801191,"libdem"
"studying",0,2,26040,23585,2.97544629801191,"libdem"
"campaigns",0,2,26040,23585,2.97544629801191,"libdem"
"book",0,2,26040,23585,2.97544629801191,"libdem"
"saudi",0,2,26040,23585,2.97544629801191,"libdem"
"damaging",0,2,26040,23585,2.97544629801191,"libdem"
"employ",0,2,26040,23585,2.97544629801191,"libdem"
"advisory",0,2,26040,23585,2.97544629801191,"libdem"
"50,000",0,2,26040,23585,2.97544629801191,"libdem"
"simpler",0,2,26040,23585,2.97544629801191,"libdem"
"core",0,2,26040,23585,2.97544629801191,"libdem"
"syrian",0,2,26040,23585,2.97544629801191,"libdem"
"allocations",0,2,26040,23585,2.97544629801191,"libdem"
"undermines",0,2,26040,23585,2.97544629801191,"libdem"
"am",0,2,26040,23585,2.97544629801191,"libdem"
"happy",0,2,26040,23585,2.97544629801191,"libdem"
"tourist",0,2,26040,23585,2.97544629801191,"libdem"
"pilot",0,2,26040,23585,2.97544629801191,"libdem"
"under-represented",0,2,26040,23585,2.97544629801191,"libdem"
"either",0,2,26040,23585,2.97544629801191,"libdem"
"councillors",0,2,26040,23585,2.97544629801191,"libdem"
"extended",0,2,26040,23585,2.97544629801191,"libdem"
"referendums",0,2,26040,23585,2.97544629801191,"libdem"
"operated",0,2,26040,23585,2.97544629801191,"libdem"
"empowered",0,2,26040,23585,2.97544629801191,"libdem"
"liberals",0,2,26040,23585,2.97544629801191,"libdem"
"fraud",0,2,26040,23585,2.97544629801191,"libdem"
"overreaching",0,2,26040,23585,2.97544629801191,"libdem"
"abandoned",0,2,26040,23585,2.97544629801191,"libdem"
"month",0,2,26040,23585,2.97544629801191,"libdem"
"raise",5,11,26035,23576,2.93964528225094,"libdem"
"greater",5,11,26035,23576,2.93964528225094,"libdem"
"cases",3,8,26037,23579,2.88049991082561,"libdem"
"therefore",3,8,26037,23579,2.88049991082561,"libdem"
"opportunity",3,8,26037,23579,2.88049991082561,"libdem"
"problems",3,8,26037,23579,2.88049991082561,"libdem"
"area",3,8,26037,23579,2.88049991082561,"libdem"
"social",34,45,26006,23542,2.82269638640248,"libdem"
"children",37,48,26003,23539,2.72845082053066,"libdem"
"funding",38,49,26002,23538,2.70040885602162,"libdem"
