"Word","Frequency"
"delayed-action",1
"demand",1
"demilitarisation",1
"demoralization",1
"denationalisation",1
"denouement",1
"departure",1
"deployment",1
"depression",1
"depressive",1
"dialogue",1
"disappearance",1
"disarmament",1
"disaster",1
"disbanding",1
"discontinuance",1
"dislocation",1
"dismissal",1
"disorder",1
"disparity",1
"dispute",1
"disruption",1
"distortion",1
"district",1
"division",1
"dog",1
"doubling",1
"drug",1
"débcle",1
"earthquake",1
"echo",1
"economy",1
"ecstasy",1
"emphasis",1
"empire",1
"employment",1
"encouragement",1
"enlargement",1
"entente",1
"epigenesis",1
"episode",1
"equity",1
"eradication",1
"european",1
"evil",1
"evolution",1
"examination",1
"example",1
"excellency",1
"existence",1
"expansion",1
"explanation",1
"exposure",1
"extermination",1
"faith",1
"federation",1
"figure",1
"flood",1
"flow",1
"food",1
"form",1
"formation",1
"fracture",1
"fraud",1
"gene",1
"general",1
"gladness",1
"gloom",1
"grief",1
"hallucination",1
"halt",1
"hardness",1
"harmonisation",1
"head",1
"heyday",1
"high-street",1
"hope",1
"hut",1
"image",1
"implication",1
"inability",1
"incapacity",1
"inculcation",1
"individuality",1
"industrialization",1
"inequality",1
"inflation",1
"influence",1
"inhibition",1
"innovation",1
"instance",1
"insurance",1
"integration",1
"intellectual",1
"intention",1
"intervention",1
"intimation",1
"isolation",1
"job",1
"joy",1
"justice",1
"juxtaposition",1
"kairoi",1
"knock",1
"laboratory",1
"laughter",1
"learning",1
"lessening",1
"liberty",1
"lifting",1
"lightning",1
"lightweight",1
"link",1
"liturgy",1
"long-awaited",1
"lot",1
"lowering",1
"lumen",1
"man",1
"marina",1
"mass",1
"master",1
"maternity",1
"maturation",1
"mauve",1
"mobility",1
"move",1
"movie",1
"nationalist",1
"navy",1
"obfuscation",1
"opportunity",1
"order",1
"overthrow",1
"p",1
"party",1
"pattern",1
"paying",1
"perception",1
"perestroika",1
"phenomenon",1
"place",1
"pledge",1
"plural",1
"polarization",1
"possibility",1
"presidency",1
"privatization",1
"production",1
"programme",1
"proportion",1
"prosecution",1
"prosperity",1
"pulley",1
"purpose",1
"quaker",1
"quantity",1
"quarter",1
"radical",1
"radio",1
"raising",1
"range",1
"ranking",1
"re-casting",1
"re-election",1
"re-focus",1
"re-ionization",1
"reactor",1
"readiness",1
"realignment",1
"realisation",1
"rearrangement",1
"rebellion",1
"recombination",1
"record",1
"redundancy",1
"reflection",1
"reformation",1
"regeneration",1
"regularity",1
"relapse",1
"relationship",1
"relaxation",1
"reminder",1
"repression",1
"requirement",1
"reshuffle",1
"resonance",1
"resource",1
"resurrection",1
"reunification",1
"reunion",1
"revision",1
"ridicule",1
"rift",1
"riot",1
"risk",1
"road",1
"role",1
"route",1
"ruin",1
"ruler",1
"rupture",1
"sabotage",1
"safety",1
"salivation",1
"salvation",1
"scale",1
"scarcity",1
"seaweed",1
"second",1
"secondary",1
"seizure",1
"self-restraint",1
"sentence",1
"shake-out",1
"sharing",1
"sharpening",1
"sheet",1
"show-down",1
"shrinkage",1
"sight",1
"silence",1
"skill",1
"slaughter",1
"society",1
"soil",1
"specification",1
"spend",1
"split",1
"spread",1
"standard",1
"start",1
"status",1
"stock-holding",1
"subject",1
"substitution",1
"success",1
"succession",1
"suicide",1
"supply",1
"surrender",1
"switch-over",1
"syndrome",1
"talk",1
"teacher",1
"territory",1
"thanks",1
"thing",1
"throw",1
"tilt",1
"token",1
"town",1
"tranquillity",1
"transaction",1
"transfer",1
"treatment",1
"trouble",1
"unanimity",1
"uncertainty",1
"unemployment",1
"unification",1
"upheaval",1
"uproar",1
"upset",1
"upsurge",1
"usage",1
"utopia",1
"verdict",1
"view",1
"vision",1
"visit",1
"wave",1
"work",1
"working",1
"workshop",1
"£100m",1
"£3.5m",1
"£4",1
"£7",1
