"Word","Frequency"
"girl",4
"habit",4
"haemorrhage",4
"harbour",4
"head",4
"hearing",4
"host",4
"human",4
"imbalance",4
"impoverishment",4
"inception",4
"incorporation",4
"inflammation",4
"insanity",4
"internalization",4
"killer",4
"killing",4
"lake",4
"landing",4
"language",4
"league",4
"leak",4
"lifting",4
"majority",4
"make",4
"making",4
"management",4
"material",4
"matter",4
"measurement",4
"member",4
"merger",4
"method",4
"misallocation",4
"mobility",4
"month",4
"moor",4
"mystery",4
"name",4
"night",4
"occurrence",4
"offence",4
"osteoporosis",4
"pain",4
"parking",4
"patio",4
"pay",4
"penalty",4
"perception",4
"phase",4
"phd",4
"port",4
"presentation",4
"proportion",4
"publicity",4
"railway",4
"rash",4
"re-examination",4
"realization",4
"reception",4
"reconsideration",4
"referral",4
"reinforcement",4
"relocation",4
"repercussion",4
"repetition",4
"respect",4
"reunification",4
"revolt",4
"rift",4
"round",4
"rupture",4
"sale",4
"satisfaction",4
"scandal",4
"seat",4
"secretary",4
"secretion",4
"segregation",4
"sentence",4
"share",4
"sign",4
"smell",4
"son",4
"spread",4
"stagnation",4
"starvation",4
"status",4
"step",4
"story",4
"style",4
"subject",4
"substitution",4
"suffering",4
"surge",4
"target",4
"teacher",4
"teaching",4
"time",4
"total",4
"traffic",4
"train",4
"trial",4
"ulceration",4
"unfairness",4
"unhappiness",4
"unification",4
"unity",4
"uplift",4
"version",4
"warfare",4
"waste",4
"word",4
"abortion",3
"access",3
"accountability",3
"adhesion",3
"admission",3
"advantage",3
"advice",3
"advocacy",3
"aggravation",3
"allegation",3
"amelioration",3
"anaemia",3
"analysis",3
"anomaly",3
"answer",3
"approval",3
"arrangement",3
"atrophy",3
"availability",3
"ba",3
"baby",3
"beginning",3
"bias",3
"bid",3
"bill",3
"bloodshed",3
"boiler",3
"brain",3
"breaking",3
"broadening",3
"budget",3
"campus",3
"care",3
"catastrophe",3
"cause",3
"cave",3
"centralisation",3
"centre",3
"century",3
"character",3
"characteristic",3
"cirrhosis",3
"climax",3
"cluster",3
"coma",3
"complexity",3
"condemnation",3
"conference",3
"confession",3
"contamination",3
"convention",3
"cooling",3
"core",3
"corner",3
"cottage",3
"couple",3
"course",3
"crossroads",3
"cry",3
"dad",3
"deficit",3
"deforestation",3
"degeneration",3
"department",3
"destabilisation",3
"destination",3
"determination",3
"devaluation",3
"devastation",3
"device",3
"diet",3
"disadvantage",3
"discomfort",3
"disconnection",3
"disillusionment",3
"distinction",3
"district",3
"diversification",3
"doctor",3
"dollar",3
"doubt",3
"drafting",3
"driver",3
"drop-out",3
"economy",3
"edge",3
"education",3
"effectiveness",3
"emphase",3
"encounter",3
"enforcement",3
"engine",3
"episode",3
"eqn",3
"equality",3
"exclusion",3
"exploration",3
"export",3
"eye",3
"facility",3
"famine",3
"father",3
"fault",3
"fighting",3
"firm",3
"flurry",3
"forecast",3
"forest",3
"friend",3
"front",3
"function",3
"gallery",3
"generalization",3
"handicap",3
"happiness",3
"hardening",3
"harvest",3
"headache",3
"height",3
"household",3
"hunger",3
"hyperplasia",3
"inability",3
"inaccuracy",3
"inclusion",3
"incoherence",3
"inconsistency",3
"indictment",3
"induction",3
"ineffectiveness",3
"influx",3
"information",3
"initial",3
"initiation",3
"initiative",3
"insecurity",3
"island",3
"japanese",3
"journey",3
"launch",3
"lease",3
"liver",3
"lump",3
"lung",3
"machine",3
"massacre",3
"match",3
"maturity",3
"mess",3
"mile",3
"military",3
"misdiagnosis",3
"moment",3
"mortality",3
"mortgage",3
"mountain",3
"negotiation",3
"network",3
"objection",3
"obsession",3
"odds",3
"one",3
"opposite",3
"organ",3
"outburst",3
"outflow",3
"oversimplification",3
"paradox",3
"paragraph",3
"park",3
"partnership",3
"passage",3
"payment",3
"penetration",3
"petrol",3
"pit",3
"planning",3
"plant",3
"player",3
"pneumonia",3
"post-graduate",3
"precipitation",3
"protection",3
"pupil",3
"pursuit",3
"radical",3
"ratio",3
"realignment",3
"realisation",3
"reason",3
"recrimination",3
"redefinition",3
"redistribution",3
"reformulation",3
"registration",3
"regulation",3
"relative",3
"reluctance",3
"resource",3
"restructuring",3
"retention",3
"retrieval",3
"revenue",3
"reversion",3
"right",3
"rigidity",3
"rivalry",3
"romance",3
"rumour",3
"run",3
"running",3
"rush",3
"scale",3
"schizophrenia",3
"science",3
"scramble",3
"secondary",3
"section",3
"self",3
"sequence",3
"shape",3
"shock",3
"shrinkage",3
"society",3
"software",3
"specialisation",3
"stage",3
"stairs",3
"sterility",3
"stimulation",3
"storage",3
"strain",3
"string",3
"succession",3
"summer",3
"supply",3
"suppression",3
"switch",3
"synthesis",3
"tableau",3
"team",3
"television",3
"temple",3
"theft",3
"thinking",3
"tissue",3
"title",3
"tooth",3
"topic",3
"transport",3
"treaty",3
"tv",3
"underestimate",3
"unit",3
"university",3
"upsurge",3
"valley",3
"vision",3
"visit",3
"wastage",3
"waterfall",3
"widening",3
"wife",3
"wing",3
"workshop",3
"wound",3
"yard",3
"30%",2
"absenteeism",2
"absorption",2
"accommodation",2
"accounting",2
"accreditation",2
"accuracy",2
"acidity",2
"acrylic",2
"addition",2
"adjournment",2
"adult",2
"advancement",2
"age",2
"alcoholism",2
"alignment",2
"allergy",2
"alley",2
"american",2
"amino",2
"amplifier",2
"amputation",2
"anguish",2
"animal",2
"annoyance",2
"apartment",2
"apple",2
"apprehension",2
"army",2
"arousal",2
"arrival",2
"artery",2
"arthritis",2
"assassination",2
"assembly",2
"atheism",2
"atmosphere",2
"attainment",2
"attendance",2
"attention",2
"attribution",2
"awakening",2
"bachelor",2
"banishment",2
"banking",2
"barn",2
"bean",2
"beer",2
"bell",2
"bird",2
"black",2
"blurring",2
"boat",2
"bomb",2
"bonus",2
"boom",2
"boredom",2
"boundary",2
"breathing",2
"brigade",2
"bronchitis",2
"build",2
"burden",2
"bureaucracy",2
"burning",2
"butter",2
"buying",2
"calculation",2
"canal",2
"capacity",2
"capitalism",2
"capping",2
"caravan",2
"castle",2
"casualty",2
"caution",2
"cavern",2
"cellar",2
"certification",2
"challenge",2
"chamber",2
"chapel",2
"characterization",2
"charleroi",2
"chemical",2
"chloride",2
"cigarette",2
"circumstance",2
"civilian",2
"clampdown",2
"clarification",2
"clause",2
"co",2
"coalition",2
"coast",2
"college",2
"commercialisation",2
"committal",2
"committee",2
"competence",2
"compression",2
"conductivity",2
"confiscation",2
"consensus",2
"consolidation",2
"constitution",2
"contemplation",2
"contentment",2
"contest",2
"continuation",2
"contraction",2
"contribution",2
"convulsion",2
"corporation",2
"countryside",2
"county",2
"coup",2
"courtroom",2
"credit",2
"crest",2
"cricket",2
"criminal",2
"critique",2
"cse",2
"cure",2
"curvature",2
"cutback",2
"cycle",2
"date",2
"dawn",2
"de-skilling",2
"deadlock",2
"decentralisation",2
"decision-making",2
"defensiveness",2
"dementia",2
"deployment",2
"depopulation",2
"deposit",2
"depreciation",2
"deprivation",2
"dermatitis",2
"designation",2
"despair",2
"detective",2
"deviation",2
"dictatorship",2
"differentiation",2
"dining",2
"dinner",2
"direction",2
"disability",2
"disaffection",2
"disbarment",2
"discipline",2
"disorientation",2
"disparity",2
"dispersal",2
"disposal",2
"dissemination",2
"dissension",2
"distraction",2
"diversion",2
"diversity",2
"dna",2
"dock",2
"document",2
"doorway",2
"downgrading",2
"drain",2
"drawing-room",2
"drinking",2
"eclipse",2
"ejection",2
"elucidation",2
"emigration",2
"employee",2
"emptiness",2
"emulation",2
"english",2
"enjoyment",2
"epidemic",2
"equaliser",2
"era",2
"escape",2
"establishing",2
"estate",2
"evasion",2
"example",2
"excellence",2
"executive",2
"exhibition",2
"experimentation",2
"expert",2
"expropriation",2
"extermination",2
"extravagance",2
"extreme",2
"face",2
"factory",2
"faith",2
"fame",2
"farmer",2
"fashion",2
"fatality",2
"feature",2
"feedback",2
"fertilization",2
"fever",2
"file",2
"fitting",2
"fixture",2
"flowering",2
"fluid",2
"football",2
"ford",2
"foyer",2
"french",2
"frequency",2
"frost",2
"funding",2
"garage",2
"gas",2
"gearing",2
"gender",2
"generalisation",2
"gill",2
"giving",2
"glucose",2
"good",2
"grant",2
"granting",2
"gulf",2
"hair",2
"harmonisation",2
"hatred",2
"headland",2
"hepatitis",2
"highway",2
"hint",2
"holding",2
"homelessness",2
"hunt",2
"hurt",2
"hypergastrinaemia",2
"hypertension",2
"hypertrophy",2
"hyperventilation",2
"ill-health",2
"impact",2
"impairment",2
"import",2
"inadequacy",2
"inbreeding",2
"incrimination",2
"individualism",2
"inequity",2
"infertility",2
"inflow",2
"inhibition",2
"installation",2
"instruction",2
"insulin",2
"insurrection",2
"intellectual",2
"interaction",2
"interior",2
"interview",2
"intimacy",2
"intimidation",2
"irritation",2
"isotope",2
"judgment",2
"key",2
"kidney",2
"kill",2
"king",2
"kink",2
"lambing",2
"land",2
"landslide",2
"lavatory",2
"leaf",2
"learner",2
"learning",2
"ledge",2
"lethargy",2
"letter",2
"liability",2
"liaison",2
"library",2
"lifetime",2
"limitation",2
"link",2
"living-room",2
"lobby",2
"look",2
"loyalty",2
"mains",2
"manufacturing",2
"mark",2
"mathematics",2
"mechanism",2
"membership",2
"menu",2
"message",2
"metre",2
"microprocessor",2
"middle",2
"mind",2
"mismatch",2
"misrepresentation",2
"mixing",2
"moorland",2
"mosaic",2
"mouth",2
"mp",2
"multiple",2
"multiplicity",2
"museum",2
"narrowing",2
"neck",2
"newspaper",2
"nightmare",2
"nomination",2
"non-publication",2
"nonsense",2
"noose",2
"nvq",2
"obstruction",2
"occlusion",2
"odour",2
"official",2
"oliguria",2
"openness",2
"opinion",2
"option",2
"ordering",2
"orgy",2
"out-migration",2
"outlook",2
"over-exploitation",2
"over-involvement",2
"over-reaction",2
"over-simplification",2
"over-supply",2
"overcapacity",2
"overdose",2
"overflow",2
"overlap",2
"ozone",2
"pack",2
"pact",2
"page",2
"pair",2
"paper",2
"paradigm",2
"partner",2
"pass",2
"path",2
"pavillon",2
"peasant",2
"percentage",2
"perpetuation",2
"persecution",2
"phobia",2
"phosphate",2
"phosphorylation",2
"placement",2
"planting",2
"platelet",2
"play",2
"plea-bargaining",2
"pleasure",2
"pocket",2
"polarisation",2
"post",2
"postgraduate",2
"postponement",2
"postulation",2
"preparation",2
"prescription",2
"presence",2
"preservation",2
"prisoner",2
"processing",2
"progression",2
"projection",2
"promenade",2
"promise",2
"promoter",2
"promulgation",2
"prosperity",2
"protocol",2
"purge",2
"race",2
"raman",2
"rape",2
"rationalisation",2
"rationalization",2
"re-emergence",2
"re-establishment",2
"reassessment",2
"recall",2
"receptor",2
"reconstruction",2
"recruitment",2
"recurrence",2
"red-brick",2
"rediscovery",2
"reference",2
"referendum",2
"refinement",2
"reflux",2
"refusal",2
"regeneration",2
"regime",2
"relegation",2
"remand",2
"remark",2
"remedy",2
"rent",2
"reopening",2
"republic",2
"reputation",2
"reserve",2
"responsibility",2
"resurrection",2
"retaliation",2
"rethink",2
"reunion",2
"reverse",2
"rising",2
"rocket",2
"roi",2
"roof",2
"route",2
"rugby",2
"ruin",2
"sac",2
"sacrifice",2
"salt",2
"sample",2
"sanction",2
"scheme",2
"schism",2
"scrapping",2
"scuffle",2
"secession",2
"second",2
"sensitivity",2
"sewer",2
"sex",2
"ship",2
"shopping",2
"shortening",2
"shortfall",2
"shower",2
"side-effect",2
"signal",2
"signature",2
"simplification",2
"sitting-room",2
"skin",2
"slope",2
"slow-down",2
"snobbery",2
"socialism",2
"soldier",2
"song",2
"south",2
"south-east",2
"space",2
"speaker",2
"specialty",2
"spell",2
"sprawl",2
"spraying",2
"square",2
"squeeze",2
"staircase",2
"stance",2
"standardization",2
"sterling",2
"stifling",2
"stomach",2
"stoppage",2
"storey",2
"strength",2
"strife",2
"struggle",2
"subduction",2
"subjugation",2
"substance",2
"suite",2
"superiority",2
"superposition",2
"supplement",2
"supplier",2
"surface",2
"surgery",2
"surplus",2
"surrender",2
"synapse",2
"table",2
"take-over",2
"tantrum",2
"tape",2
"tariff",2
"task",2
"tax",2
"taxation",2
"technique",2
"telephone",2
"terrace",2
"text",2
"thrombosis",2
"toilet",2
"torrent",2
"track",2
"trainee",2
"transplant",2
"trend",2
"trip",2
"try",2
"tunnel",2
"turnover",2
"tutorial",2
"typology",2
"undermining",2
"undoing",2
"unease",2
"uniformity",2
"unionism",2
"universe",2
"upwelling",2
"vegetation",2
"venture",2
"veranda",2
"verandah",2
"verdict",2
"vessel",2
"video",2
"viewpoint",2
"villa",2
"violation",2
"vocabulary",2
"volatility",2
"volume",2
"voter",2
"wage",2
"ward",2
"warming",2
"weakness",2
"web",2
"west",2
"whimsey",2
"window",2
"winner",2
"winter",2
"wood",2
"working",2
"workroom",2
"worry",2
"write",2
"yachting",2
"youngster",2
"£10",2
"$35billion",1
"$5",1
"11%",1
"15%",1
"15km",1
"25%",1
"25-mile",1
"30pc",1
"38%",1
"5%",1
"6bn",1
"90-metre",1
"abandoning",1
"abbey",1
"abdication",1
"abdomen",1
"abduction",1
"ability",1
"ablation",1
"abstraction",1
"abyss",1
"academic",1
"accent",1
"accessing",1
"acclaim",1
"accountancy",1
"achieving",1
"achlorhydria",1
"acidosis",1
"acquiescence",1
"acquirer",1
"acre",1
"adaption",1
"adjust-ment",1
"administration",1
"admonition",1
"adultery",1
"advent",1
"advertising",1
"aerospace",1
"aestheticisation",1
"affair",1
"affirmation",1
"age-group",1
"age-structure",1
"ageism",1
"agent",1
"aggressiveness",1
"agitation",1
"agony",1
"agriculture",1
"aid",1
"aide",1
"aim",1
"aircraft",1
"airline",1
"aisle",1
"alcohol",1
"alcohol-inspired",1
"alcove",1
"aleatoricism",1
"all-over",1
"alliance",1
"allotment",1
"ally",1
"alpha",1
"amalgamation",1
"ambition",1
"ammonia/nitrite",1
"amplification",1
"amplifying",1
"amzallag",1
"anaesthesia",1
"andrus",1
"anger",1
"angina",1
"angus",1
"animosity",1
"annihilation",1
"anorexic",1
"antagonism",1
"anti-climax",1
"anti-relativism",1
"antinomianism",1
"aorta",1
"apartheid",1
"apathy",1
"apoptosis",1
"applicant",1
"appraisal",1
"approximation",1
"arbitrage",1
"argentine",1
"ark",1
"array",1
"arrogance",1
"art",1
"articulation",1
"artificiality",1
"artist",1
"artistry",1
"ashfield",1
"assault",1
"asset",1
"assimilation",1
"associateship",1
"asthma",1
"astounding",1
"asymmetry",1
"attainder",1
"atwater",1
"auction",1
"audiovisual",1
"audit",1
"aunt",1
"austerity",1
"autism",1
"avalanche",1
"avenue",1
"awarding",1
"awkwardness",1
"backache",1
"background",1
"backlash",1
"bailiff",1
"bair",1
"balcony",1
"balkan",1
"ball",1
"ballagh",1
"ballot",1
"ballroom",1
"band",1
"bandwagon",1
"bang",1
"banqueting",1
"bar-coding",1
"barbarism",1
"barbarity",1
"baronetcy",1
"barrelful",1
"base",1
"basis",1
"bat",1
"batho",1
"battery",1
"bay",1
"beating",1
"bec",1
"bed-sitter",1
"behaviourism",1
"beheading",1
"behind",1
"being",1
"belay",1
"belvedere",1
"benefactor",1
"biafra",1
"bicep",1
"bickering",1
"bidding-up",1
"bile",1
"biliary",1
"billing",1
"bingeing",1
"birkwith",1
"biro",1
"birth-place",1
"bitterness",1
"bizonia",1
"blackout",1
"blandness",1
"blanket",1
"blessing",1
"blight",1
"blip",1
"block",1
"blockade",1
"blockage",1
"blocking",1
"bloodheart",1
"bloom",1
"blow-up",1
"blowhole",1
"blunder",1
"boarder",1
"boarding",1
"boast",1
"bobby",1
"bombardment",1
"bond",1
"bondage",1
"bondholder",1
"bone",1
"booing",1
"bookseller",1
"booming",1
"boromir",1
"bottleneck",1
"bottom",1
"bourani",1
"bowel",1
"bowl",1
"box",1
"boxing",1
"branch",1
"branding",1
"brass",1
"brawling",1
"bread",1
"breadth",1
"break-down",1
"breakaway",1
"breakfast",1
"breed",1
"broom",1
"brother",1
"brummie",1
"budgeting",1
"buffalo",1
"bulb",1
"bulge",1
"bunch",1
"bunker",1
"bureaucratisation",1
"burgeoning",1
"burial",1
"bursar",1
"burst",1
"bursting",1
"bus",1
"bust-up",1
"butcher",1
"buttercup",1
"button",1
"buy",1
"by-election",1
"by-pass",1
"bypassing",1
"bystander",1
"cafeteria",1
"calcium",1
"calico",1
"calling",1
"canadian",1
"candidate",1
"cannabis",1
"cannibalism",1
"capacitance",1
"capacitor",1
"carbon",1
"carbonization",1
"carcinoma",1
"career-move",1
"cargo-handling",1
"carport",1
"carve-up",1
"casa",1
"cast",1
"casting",1
"cataloguing",1
"catalysis",1
"catalyst",1
"catch",1
"category",1
"cathedral",1
"cation",1
"causing",1
"cavalry",1
"ceasefire",1
"celebrity",1
"centralization",1
"ceramic",1
"ceremony",1
"chain-ferry",1
"chairman",1
"chamonix",1
"changing",1
"chapter",1
"charcot",1
"chief",1
"chilblain",1
"childbearing",1
"childhood",1
"chimney-flue",1
"choir",1
"choosing",1
"chop",1
"chromosome",1
"churchyard",1
"cinema",1
"cinque",1
"circular",1
"circumlocution",1
"clachan",1
"claimant",1
"classic",1
"classroom",1
"clearance",1
"clearing",1
"cleavage",1
"clerk",1
"cliff",1
"clift",1
"climb",1
"climbdown",1
"cloak",1
"cloakroom",1
"clockwork",1
"cloth",1
"clothing",1
"cloud",1
"clump",1
"co-ordination",1
"coal",1
"coalification",1
"coarsening",1
"coercion",1
"coining",1
"col",1
"colbeck",1
"cold",1
"coldness",1
"collaboration",1
"colleague",1
"colonoscopy",1
"combination",1
"combustion",1
"commercialism",1
"commissioner",1
"commissioning",1
"commodity",1
"communicating",1
"commuting",1
"compensation",1
"competitiveness",1
"complex",1
"complex-stabilization",1
"composition",1
"comprehension",1
"comprehensive",1
"compromiso",1
"compulsion",1
"computation",1
"computer",1
"computing",1
"conceptualisation",1
"concourse",1
"concussion",1
"confederation",1
"confinement",1
"conflagration",1
"confluence",1
"conformation",1
"congress",1
"conifer",1
"conquest",1
"consciousness",1
"consignment",1
"consistency",1
"constipation",1
"constriction",1
"consultancy",1
"containment",1
"content",1
"contention",1
"continuance",1
"continuity",1
"contrary",1
"convening",1
"convuclsion",1
"cook",1
"cooptation",1
"coordination",1
"coping",1
"correction",1
"corrie",1
"corrosion",1
"corrour",1
"cosecretion",1
"cosiness",1
"cost-cutting",1
"cot",1
"count",1
"counterpart",1
"court-martial",1
"cove",1
"coverage",1
"covert",1
"cow",1
"crackdown",1
"cracking",1
"craft",1
"creationof",1
"crew",1
"criminality",1
"crop",1
"cross",1
"cross-examination",1
"cross-profile",1
"crowding",1
"crowning",1
"crucifixion",1
"crude",1
