"Token","Freq2001","Freq2017","c","d","GStat","Association"
"250",0,4,33909,26036,6.67123063874386,"2017"
"first-time",0,4,33909,26036,6.67123063874386,"2017"
"known",0,4,33909,26036,6.67123063874386,"2017"
"2030",0,4,33909,26036,6.67123063874386,"2017"
"secretary",0,4,33909,26036,6.67123063874386,"2017"
"directors",0,4,33909,26036,6.67123063874386,"2017"
"zero",0,4,33909,26036,6.67123063874386,"2017"
"buyers",0,4,33909,26036,6.67123063874386,"2017"
"migrant",0,4,33909,26036,6.67123063874386,"2017"
"collective",0,4,33909,26036,6.67123063874386,"2017"
"gaps",0,4,33909,26036,6.67123063874386,"2017"
"wars",0,4,33909,26036,6.67123063874386,"2017"
"condition",0,4,33909,26036,6.67123063874386,"2017"
"withdrawal",0,4,33909,26036,6.67123063874386,"2017"
"reporting",0,4,33909,26036,6.67123063874386,"2017"
"introduce",17,28,33892,26012,6.40778603924122,"2017"
"employers",7,16,33902,26024,6.39622471479054,"2017"
"health",42,55,33867,25985,6.8772219830375,"2017"
"legislate",3,10,33906,26030,6.05206927066018,"2017"
"often",3,10,33906,26030,6.05206927066018,"2017"
"economies",3,10,33906,26030,6.05206927066018,"2017"
"under",19,30,33890,26010,6.2518418209691,"2017"
"future",24,35,33885,26005,5.99878556486771,"2017"
"cuts",14,24,33895,26016,5.96753928285391,"2017"
"industry",14,24,33895,26016,5.96753928285391,"2017"
"us",17,27,33892,26013,5.70211165650906,"2017"
"upgrade",2,8,33907,26032,5.61388040046569,"2017"
"owned",2,8,33907,26032,5.61388040046569,"2017"
"creating",2,8,33907,26032,5.61388040046569,"2017"
"include",2,8,33907,26032,5.61388040046569,"2017"
"prioritise",1,6,33908,26034,5.40491830730149,"2017"
"probation",1,6,33908,26034,5.40491830730149,"2017"
"alongside",1,6,33908,26034,5.40491830730149,"2017"
"tourism",1,6,33908,26034,5.40491830730149,"2017"
"customers",1,6,33908,26034,5.40491830730149,"2017"
"railways",1,6,33908,26034,5.40491830730149,"2017"
"repeal",1,6,33908,26034,5.40491830730149,"2017"
"goods",1,6,33908,26034,5.40491830730149,"2017"
"wages",1,6,33908,26034,5.40491830730149,"2017"
"consumer",1,6,33908,26034,5.40491830730149,"2017"
"protecting",1,6,33908,26034,5.40491830730149,"2017"
"deserve",1,6,33908,26034,5.40491830730149,"2017"
"complete",1,6,33908,26034,5.40491830730149,"2017"
"rises",1,6,33908,26034,5.40491830730149,"2017"
"care",39,49,33870,25991,5.31660218675608,"2017"
"food",8,16,33901,26024,5.24998309667559,"2017"
"officers",5,12,33904,26028,5.11511845963621,"2017"
"sure",5,12,33904,26028,5.11511845963621,"2017"
"current",5,12,33904,26028,5.11511845963621,"2017"
"back",24,34,33885,26006,5.3865464103514,"2017"
"council",9,17,33900,26023,5.0683881793314,"2017"
"and",1150,972,32759,25068,5.00618212278012,"2017"
"wild",0,3,33909,26037,5.00335780584565,"2017"
"anti-semitism",0,3,33909,26037,5.00335780584565,"2017"
"shares",0,3,33909,26037,5.00335780584565,"2017"
"undercut",0,3,33909,26037,5.00335780584565,"2017"
"cross-border",0,3,33909,26037,5.00335780584565,"2017"
"aggravated",0,3,33909,26037,5.00335780584565,"2017"
"killed",0,3,33909,26037,5.00335780584565,"2017"
"fundamental",0,3,33909,26037,5.00335780584565,"2017"
"settlements",0,3,33909,26037,5.00335780584565,"2017"
"scandal",0,3,33909,26037,5.00335780584565,"2017"
"slavery",0,3,33909,26037,5.00335780584565,"2017"
"repeated",0,3,33909,26037,5.00335780584565,"2017"
"negotiate",0,3,33909,26037,5.00335780584565,"2017"
"``",0,3,33909,26037,5.00335780584565,"2017"
"actions",0,3,33909,26037,5.00335780584565,"2017"
"kind",0,3,33909,26037,5.00335780584565,"2017"
"loneliness",0,3,33909,26037,5.00335780584565,"2017"
"diplomacy",0,3,33909,26037,5.00335780584565,"2017"
"mail",0,3,33909,26037,5.00335780584565,"2017"
"refocus",0,3,33909,26037,5.00335780584565,"2017"
"everybody",0,3,33909,26037,5.00335780584565,"2017"
"overcrowded",0,3,33909,26037,5.00335780584565,"2017"
"measure",0,3,33909,26037,5.00335780584565,"2017"
"backbone",0,3,33909,26037,5.00335780584565,"2017"
"insulate",0,3,33909,26037,5.00335780584565,"2017"
"embed",0,3,33909,26037,5.00335780584565,"2017"
"innovative",0,3,33909,26037,5.00335780584565,"2017"
"defend",0,3,33909,26037,5.00335780584565,"2017"
"guaranteeing",0,3,33909,26037,5.00335780584565,"2017"
"show",0,3,33909,26037,5.00335780584565,"2017"
"thing",0,3,33909,26037,5.00335780584565,"2017"
"medicines",0,3,33909,26037,5.00335780584565,"2017"
"implementation",0,3,33909,26037,5.00335780584565,"2017"
"meaningful",0,3,33909,26037,5.00335780584565,"2017"
"bereavement",0,3,33909,26037,5.00335780584565,"2017"
"owners",0,3,33909,26037,5.00335780584565,"2017"
"outcomes",0,3,33909,26037,5.00335780584565,"2017"
"affordability",0,3,33909,26037,5.00335780584565,"2017"
"producers",0,3,33909,26037,5.00335780584565,"2017"
"richer",0,3,33909,26037,5.00335780584565,"2017"
"nes",0,3,33909,26037,5.00335780584565,"2017"
"steel",0,3,33909,26037,5.00335780584565,"2017"
"sustainability",0,3,33909,26037,5.00335780584565,"2017"
"reserved",0,3,33909,26037,5.00335780584565,"2017"
"fans",0,3,33909,26037,5.00335780584565,"2017"
"prohibit",0,3,33909,26037,5.00335780584565,"2017"
"lock",0,3,33909,26037,5.00335780584565,"2017"
"civilians",0,3,33909,26037,5.00335780584565,"2017"
"ticketing",0,3,33909,26037,5.00335780584565,"2017"
"physical",0,3,33909,26037,5.00335780584565,"2017"
"commissioning",0,3,33909,26037,5.00335780584565,"2017"
"developers",0,3,33909,26037,5.00335780584565,"2017"
"persons",0,3,33909,26037,5.00335780584565,"2017"
"objectives",0,3,33909,26037,5.00335780584565,"2017"
"understands",0,3,33909,26037,5.00335780584565,"2017"
"purchase",0,3,33909,26037,5.00335780584565,"2017"
"uphold",0,3,33909,26037,5.00335780584565,"2017"
"safeguards",0,3,33909,26037,5.00335780584565,"2017"
"theresa",0,3,33909,26037,5.00335780584565,"2017"
"landlord",0,3,33909,26037,5.00335780584565,"2017"
"devastating",0,3,33909,26037,5.00335780584565,"2017"
"resourced",0,3,33909,26037,5.00335780584565,"2017"
"amend",0,3,33909,26037,5.00335780584565,"2017"
"exploitation",0,3,33909,26037,5.00335780584565,"2017"
"tenancies",0,3,33909,26037,5.00335780584565,"2017"
"outdated",0,3,33909,26037,5.00335780584565,"2017"
"rigged",0,3,33909,26037,5.00335780584565,"2017"
"bargaining",0,3,33909,26037,5.00335780584565,"2017"
"takeover",0,3,33909,26037,5.00335780584565,"2017"
"wi-fi",0,3,33909,26037,5.00335780584565,"2017"
"abuses",0,3,33909,26037,5.00335780584565,"2017"
"sea",0,3,33909,26037,5.00335780584565,"2017"
"consistency",0,3,33909,26037,5.00335780584565,"2017"
"plant",0,3,33909,26037,5.00335780584565,"2017"
"corners",0,3,33909,26037,5.00335780584565,"2017"
"lending",0,3,33909,26037,5.00335780584565,"2017"
"puts",0,3,33909,26037,5.00335780584565,"2017"
"rhetoric",0,3,33909,26037,5.00335780584565,"2017"
"ordinary",0,3,33909,26037,5.00335780584565,"2017"
"urge",0,3,33909,26037,5.00335780584565,"2017"
"abandon",0,3,33909,26037,5.00335780584565,"2017"
"''",0,3,33909,26037,5.00335780584565,"2017"
"body",0,3,33909,26037,5.00335780584565,"2017"
"joined-up",0,3,33909,26037,5.00335780584565,"2017"
"multilateral",0,3,33909,26037,5.00335780584565,"2017"
"whilst",0,3,33909,26037,5.00335780584565,"2017"
"fostering",0,3,33909,26037,5.00335780584565,"2017"
"deficit",0,3,33909,26037,5.00335780584565,"2017"
"e",0,3,33909,26037,5.00335780584565,"2017"
"temporary",0,3,33909,26037,5.00335780584565,"2017"
"compliance",0,3,33909,26037,5.00335780584565,"2017"
"provider",0,3,33909,26037,5.00335780584565,"2017"
"tasked",0,3,33909,26037,5.00335780584565,"2017"
"intervention",0,3,33909,26037,5.00335780584565,"2017"
"tensions",0,3,33909,26037,5.00335780584565,"2017"
"venues",0,3,33909,26037,5.00335780584565,"2017"
"grid",0,3,33909,26037,5.00335780584565,"2017"
"ring-fence",0,3,33909,26037,5.00335780584565,"2017"
"constitutional",0,3,33909,26037,5.00335780584565,"2017"
"scrapping",0,3,33909,26037,5.00335780584565,"2017"
"ratios",0,3,33909,26037,5.00335780584565,"2017"
"self-employment",0,3,33909,26037,5.00335780584565,"2017"
"sdgs",0,3,33909,26037,5.00335780584565,"2017"
"certain",0,3,33909,26037,5.00335780584565,"2017"
"weaken",0,3,33909,26037,5.00335780584565,"2017"
"neglected",0,3,33909,26037,5.00335780584565,"2017"
"viable",0,3,33909,26037,5.00335780584565,"2017"
"budgets",3,9,33906,26031,4.93330001974414,"2017"
"line",3,9,33906,26031,4.93330001974414,"2017"
"conflict",3,9,33906,26031,4.93330001974414,"2017"
"into",40,49,33869,25991,4.84215955528062,"2017"
"on",226,214,33683,25826,4.84164594425121,"2017"
"hours",8,15,33901,26025,4.41437249787797,"2017"
"our",284,261,33625,25779,4.41018236001809,"2017"
"invest",17,25,33892,26015,4.37858473424867,"2017"
"fully",5,11,33904,26029,4.16941577761163,"2017"
"workplace",5,11,33904,26029,4.16941577761163,"2017"
"implement",5,11,33904,26029,4.16941577761163,"2017"
"trading",5,11,33904,26029,4.16941577761163,"2017"
"councils",5,11,33904,26029,4.16941577761163,"2017"
"plans",10,17,33899,26023,4.15518045133634,"2017"
"range",6,13,33903,26027,4.8207809060558,"2017"
"powers",6,13,33903,26027,4.8207809060558,"2017"
"unlike",1,5,33908,26035,4.07188588107175,"2017"
"devolution",1,5,33908,26035,4.07188588107175,"2017"
"order",1,5,33908,26035,4.07188588107175,"2017"
"thousands",1,5,33908,26035,4.07188588107175,"2017"
"sleeping",1,5,33908,26035,4.07188588107175,"2017"
"assessments",1,5,33908,26035,4.07188588107175,"2017"
"avoid",1,5,33908,26035,4.07188588107175,"2017"
"low-carbon",1,5,33908,26035,4.07188588107175,"2017"
"corporate",1,5,33908,26035,4.07188588107175,"2017"
"border",1,5,33908,26035,4.07188588107175,"2017"
"co-operative",1,5,33908,26035,4.07188588107175,"2017"
"careers",1,5,33908,26035,4.07188588107175,"2017"
"accountability",1,5,33908,26035,4.07188588107175,"2017"
"impact",1,5,33908,26035,4.07188588107175,"2017"
"16",1,5,33908,26035,4.07188588107175,"2017"
"libraries",1,5,33908,26035,4.07188588107175,"2017"
"policing",1,5,33908,26035,4.07188588107175,"2017"
"rough",1,5,33908,26035,4.07188588107175,"2017"
"judicial",1,5,33908,26035,4.07188588107175,"2017"
"fair",11,18,33898,26022,4.06078028829539,"2017"
"seek",11,18,33898,26022,4.06078028829539,"2017"
"roll",2,7,33907,26033,4.4192373625795,"2017"
"contracts",2,7,33907,26033,4.4192373625795,"2017"
"adult",2,7,33907,26033,4.4192373625795,"2017"
"workforce",2,7,33907,26033,4.4192373625795,"2017"
"or",59,65,33850,25975,4.03824631502734,"2017"
"scotland",3,8,33906,26032,3.87039586886632,"2017"
"members",3,8,33906,26032,3.87039586886632,"2017"
"allowance",3,8,33906,26032,3.87039586886632,"2017"
"housing",16,23,33893,26017,3.79187642065417,"2017"
"part",19,26,33890,26014,3.72656863916057,"2017"
"wales",4,9,33905,26031,3.52047432834667,"2017"
"dignity",4,9,33905,26031,3.52047432834667,"2017"
"democracy",4,9,33905,26031,3.52047432834667,"2017"
"which",37,43,33872,25997,3.42971107954717,"2017"
"operate",0,2,33909,26038,3.33552842335066,"2017"
"monies",0,2,33909,26038,3.33552842335066,"2017"
"emerging",0,2,33909,26038,3.33552842335066,"2017"
"whenever",0,2,33909,26038,3.33552842335066,"2017"
"saw",0,2,33909,26038,3.33552842335066,"2017"
"behaviours",0,2,33909,26038,3.33552842335066,"2017"
"dispute",0,2,33909,26038,3.33552842335066,"2017"
"accessibility",0,2,33909,26038,3.33552842335066,"2017"
"injustices",0,2,33909,26038,3.33552842335066,"2017"
"high-risk",0,2,33909,26038,3.33552842335066,"2017"
"deterioration",0,2,33909,26038,3.33552842335066,"2017"
"soft",0,2,33909,26038,3.33552842335066,"2017"
"loss",0,2,33909,26038,3.33552842335066,"2017"
"army",0,2,33909,26038,3.33552842335066,"2017"
"untapped",0,2,33909,26038,3.33552842335066,"2017"
"progressing",0,2,33909,26038,3.33552842335066,"2017"
"tariff",0,2,33909,26038,3.33552842335066,"2017"
"airport",0,2,33909,26038,3.33552842335066,"2017"
"solution",0,2,33909,26038,3.33552842335066,"2017"
"arrangement",0,2,33909,26038,3.33552842335066,"2017"
"governing",0,2,33909,26038,3.33552842335066,"2017"
"availability",0,2,33909,26038,3.33552842335066,"2017"
"defences",0,2,33909,26038,3.33552842335066,"2017"
"clauses",0,2,33909,26038,3.33552842335066,"2017"
"territories",0,2,33909,26038,3.33552842335066,"2017"
"published",0,2,33909,26038,3.33552842335066,"2017"
"otherwise",0,2,33909,26038,3.33552842335066,"2017"
"continent",0,2,33909,26038,3.33552842335066,"2017"
"injured",0,2,33909,26038,3.33552842335066,"2017"
"expensive",0,2,33909,26038,3.33552842335066,"2017"
"deposit",0,2,33909,26038,3.33552842335066,"2017"
"apprentices",0,2,33909,26038,3.33552842335066,"2017"
"customs",0,2,33909,26038,3.33552842335066,"2017"
"shameful",0,2,33909,26038,3.33552842335066,"2017"
"durham",0,2,33909,26038,3.33552842335066,"2017"
"upskill",0,2,33909,26038,3.33552842335066,"2017"
"quarterly",0,2,33909,26038,3.33552842335066,"2017"
"severn",0,2,33909,26038,3.33552842335066,"2017"
"emergency",0,2,33909,26038,3.33552842335066,"2017"
"oxford",0,2,33909,26038,3.33552842335066,"2017"
"remote",0,2,33909,26038,3.33552842335066,"2017"
"redundancy",0,2,33909,26038,3.33552842335066,"2017"
"tirelessly",0,2,33909,26038,3.33552842335066,"2017"
"quick",0,2,33909,26038,3.33552842335066,"2017"
"globally",0,2,33909,26038,3.33552842335066,"2017"
"day-to-day",0,2,33909,26038,3.33552842335066,"2017"
"balancing",0,2,33909,26038,3.33552842335066,"2017"
"identify",0,2,33909,26038,3.33552842335066,"2017"
"shop",0,2,33909,26038,3.33552842335066,"2017"
"characteristic",0,2,33909,26038,3.33552842335066,"2017"
"inventing",0,2,33909,26038,3.33552842335066,"2017"
"unprecedented",0,2,33909,26038,3.33552842335066,"2017"
"groceries",0,2,33909,26038,3.33552842335066,"2017"
"2022",0,2,33909,26038,3.33552842335066,"2017"
"becomes",0,2,33909,26038,3.33552842335066,"2017"
"yemen",0,2,33909,26038,3.33552842335066,"2017"
"taxpayers",0,2,33909,26038,3.33552842335066,"2017"
"gibraltar",0,2,33909,26038,3.33552842335066,"2017"
"cruelty",0,2,33909,26038,3.33552842335066,"2017"
"inquiries",0,2,33909,26038,3.33552842335066,"2017"
"workplaces",0,2,33909,26038,3.33552842335066,"2017"
"attack",0,2,33909,26038,3.33552842335066,"2017"
"considerable",0,2,33909,26038,3.33552842335066,"2017"
"overcharged",0,2,33909,26038,3.33552842335066,"2017"
"brussels",0,2,33909,26038,3.33552842335066,"2017"
"ours",0,2,33909,26038,3.33552842335066,"2017"
"paris",0,2,33909,26038,3.33552842335066,"2017"
"incidents",0,2,33909,26038,3.33552842335066,"2017"
"keynes",0,2,33909,26038,3.33552842335066,"2017"
"migration",0,2,33909,26038,3.33552842335066,"2017"
"felt",0,2,33909,26038,3.33552842335066,"2017"
"underinvestment",0,2,33909,26038,3.33552842335066,"2017"
"costed",0,2,33909,26038,3.33552842335066,"2017"
"west",0,2,33909,26038,3.33552842335066,"2017"
"highways",0,2,33909,26038,3.33552842335066,"2017"
"attempts",0,2,33909,26038,3.33552842335066,"2017"
"cause",0,2,33909,26038,3.33552842335066,"2017"
"pre-apprenticeship",0,2,33909,26038,3.33552842335066,"2017"
"weakened",0,2,33909,26038,3.33552842335066,"2017"
"public-health",0,2,33909,26038,3.33552842335066,"2017"
"wo",0,2,33909,26038,3.33552842335066,"2017"
"properties",0,2,33909,26038,3.33552842335066,"2017"
"street",0,2,33909,26038,3.33552842335066,"2017"
"arc",0,2,33909,26038,3.33552842335066,"2017"
"austerity",0,2,33909,26038,3.33552842335066,"2017"
"covenant",0,2,33909,26038,3.33552842335066,"2017"
"distribution",0,2,33909,26038,3.33552842335066,"2017"
"rip-off",0,2,33909,26038,3.33552842335066,"2017"
"prep",0,2,33909,26038,3.33552842335066,"2017"
"attacks",0,2,33909,26038,3.33552842335066,"2017"
"corporations",0,2,33909,26038,3.33552842335066,"2017"
"tying",0,2,33909,26038,3.33552842335066,"2017"
"excesses",0,2,33909,26038,3.33552842335066,"2017"
"brighton",0,2,33909,26038,3.33552842335066,"2017"
"capping",0,2,33909,26038,3.33552842335066,"2017"
"4g",0,2,33909,26038,3.33552842335066,"2017"
"milton",0,2,33909,26038,3.33552842335066,"2017"
"expire",0,2,33909,26038,3.33552842335066,"2017"
"struggling",0,2,33909,26038,3.33552842335066,"2017"
"generations",0,2,33909,26038,3.33552842335066,"2017"
"low-paid",0,2,33909,26038,3.33552842335066,"2017"
"invite",0,2,33909,26038,3.33552842335066,"2017"
"wellbeing",0,2,33909,26038,3.33552842335066,"2017"
"learners",0,2,33909,26038,3.33552842335066,"2017"
"endanger",0,2,33909,26038,3.33552842335066,"2017"
"cradle-to-grave",0,2,33909,26038,3.33552842335066,"2017"
"trial",0,2,33909,26038,3.33552842335066,"2017"
"underfunding",0,2,33909,26038,3.33552842335066,"2017"
"permit",0,2,33909,26038,3.33552842335066,"2017"
"official",0,2,33909,26038,3.33552842335066,"2017"
"machinery",0,2,33909,26038,3.33552842335066,"2017"
"solve",0,2,33909,26038,3.33552842335066,"2017"
"equivalent",0,2,33909,26038,3.33552842335066,"2017"
"license",0,2,33909,26038,3.33552842335066,"2017"
"uncertainty",0,2,33909,26038,3.33552842335066,"2017"
"species",0,2,33909,26038,3.33552842335066,"2017"
"high-skilled",0,2,33909,26038,3.33552842335066,"2017"
"nor",0,2,33909,26038,3.33552842335066,"2017"
"preferred",0,2,33909,26038,3.33552842335066,"2017"
"version",0,2,33909,26038,3.33552842335066,"2017"
"securing",0,2,33909,26038,3.33552842335066,"2017"
"banning",0,2,33909,26038,3.33552842335066,"2017"
"drifting",0,2,33909,26038,3.33552842335066,"2017"
"china",0,2,33909,26038,3.33552842335066,"2017"
"transitional",0,2,33909,26038,3.33552842335066,"2017"
"publicly-owned",0,2,33909,26038,3.33552842335066,"2017"
"counterparts",0,2,33909,26038,3.33552842335066,"2017"
"honouring",0,2,33909,26038,3.33552842335066,"2017"
"guide",0,2,33909,26038,3.33552842335066,"2017"
